sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
Zielonka_41107,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/class-geruchskiller/geruchsk-xl-inkl-schale-lemon-zielonka_41107.jpg,,,,,Geruchsk. XL inkl. Schale Lemon,Geruchsk. XL inkl. Schale Lemon,Geruchsk. XL inkl. Schale Lemon - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Geruchsk-XL-inkl-Schale-Lemon,,,Product Info Column,,44.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）它甚至可以用来对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。,,,/zielonka/class-geruchskiller/geruchsk-xl-inkl-schale-lemon-zielonka_41107.jpg,,,,,1,2,/zielonka/class-geruchskiller/geruchsk-xl-inkl-schale-lemon-zielonka_41107.jpg,,,Geruchsk. XL inkl. Schale Lemon,Geruchsk. XL inkl. Schale Lemon.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_41108,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/class-geruchskiller/geruchsk-xl-inkl-schale-arcyl-orange-zielonka_41108.jpg,,,,,Geruchsk. XL inkl. Schale Arcyl Orange,Geruchsk. XL inkl. Schale Arcyl Orange,Geruchsk. XL inkl. Schale Arcyl Orange - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Geruchsk-XL-inkl-Schale-Arcyl-Orange,,,Product Info Column,,44.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）它甚至可以用来对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。,,,/zielonka/class-geruchskiller/geruchsk-xl-inkl-schale-arcyl-orange-zielonka_41108.jpg,,,,,1,2,/zielonka/class-geruchskiller/geruchsk-xl-inkl-schale-arcyl-orange-zielonka_41108.jpg,,,Geruchsk. XL inkl. Schale Arcyl Orange,Geruchsk. XL inkl. Schale Arcyl Orange.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15220,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        Classic inkl. Schale    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/class-geruchskiller/classic-inkl-schale-weiss-01_1625.jpg,,,,,Classic inkl.Schale weiss,Classic inkl.Schale weiss,Classic inkl.Schale weiss - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Classic-inkl-Schale-weiss,,,Product Info Column,,24.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）它甚至可以用来对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。,,,/zielonka/class-geruchskiller/classic-inkl-schale-weiss-01_1625.jpg,,,,,1,2,/zielonka/class-geruchskiller/classic-inkl-schale-weiss-01_1625.jpg,,,Classic inkl.Schale weiss,Classic inkl.Schale weiss.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15006,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        Classic inkl. Schale    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/class-geruchskiller/classic-inkl-schale-schwarz-01_1651.jpg,,,,,Classic inkl.Schale schwarz,Classic inkl.Schale schwarz,Classic inkl.Schale schwarz - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Classic-inkl-Schale-schwarz,,,Product Info Column,,24.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）它甚至可以用来对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。,,,/zielonka/class-geruchskiller/classic-inkl-schale-schwarz-01_1651.jpg,,,,,1,2,/zielonka/class-geruchskiller/classic-inkl-schale-schwarz-01_1651.jpg,,,Classic inkl.Schale schwarz,Classic inkl.Schale schwarz.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15213,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        Classic inkl. Schale    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/class-geruchskiller/classic-inkl-schale-rot-01_1640.jpg,,,,,Classic inkl.Schale rot,Classic inkl.Schale rot,Classic inkl.Schale rot - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Classic-inkl-Schale-rot,,,Product Info Column,,24.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）它甚至可以用来对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。,,,/zielonka/class-geruchskiller/classic-inkl-schale-rot-01_1640.jpg,,,,,1,2,/zielonka/class-geruchskiller/classic-inkl-schale-rot-01_1640.jpg,,,Classic inkl.Schale rot,Classic inkl.Schale rot.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15221,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        Classic inkl. Schale    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/class-geruchskiller/classic-inkl-schale-magenta-01_1643.jpg,,,,,Classic inkl.Schale Magenta,Classic inkl.Schale Magenta,Classic inkl.Schale Magenta - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Classic-inkl-Schale-Magenta,,,Product Info Column,,24.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）它甚至可以用来对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。,,,/zielonka/class-geruchskiller/classic-inkl-schale-magenta-01_1643.jpg,,,,,1,2,/zielonka/class-geruchskiller/classic-inkl-schale-magenta-01_1643.jpg,,,Classic inkl.Schale Magenta,Classic inkl.Schale Magenta.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15212,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        Classic inkl. Schale    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/class-geruchskiller/classic-inkl-schale-blau-01_1669.jpg,,,,,Classic inkl.Schale blau,Classic inkl.Schale blau,Classic inkl.Schale blau - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Classic-inkl-Schale-blau,,,Product Info Column,,24.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）它甚至可以用来对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。,,,/zielonka/class-geruchskiller/classic-inkl-schale-blau-01_1669.jpg,,,,,1,2,/zielonka/class-geruchskiller/classic-inkl-schale-blau-01_1669.jpg,,,Classic inkl.Schale blau,Classic inkl.Schale blau.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15214,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/class-geruchskiller/classic-inkl-schale-acryl-orange-01_1279.jpg,,,,,"Classic inkl. Schale, Acryl orange","Classic inkl. Schale, Acryl orange","Classic inkl. Schale, Acryl orange - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Classic-inkl-Schale-Acryl-orange,,,Product Info Column,,24.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）它甚至可以用来对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。,,,/zielonka/class-geruchskiller/classic-inkl-schale-acryl-orange-01_1279.jpg,,,,,1,2,/zielonka/class-geruchskiller/classic-inkl-schale-acryl-orange-01_1279.jpg,,,"Classic inkl. Schale, Acryl orange","Classic inkl. Schale, Acryl orange.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15223,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/class-geruchskiller/classic-inkl-schale-pink-01_1278.jpg,,,,,Classic inkl. Schale pink,Classic inkl. Schale pink,Classic inkl. Schale pink - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Classic-inkl-Schale-pink,,,Product Info Column,,24.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）它甚至可以用来对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。,,,/zielonka/class-geruchskiller/classic-inkl-schale-pink-01_1278.jpg,,,,,1,2,/zielonka/class-geruchskiller/classic-inkl-schale-pink-01_1278.jpg,,,Classic inkl. Schale pink,Classic inkl. Schale pink.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15210,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        Classic inkl. Schale    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/class-geruchskiller/classic-inkl-schale-mint-01_1637.jpg,,,,,Classic inkl. Schale mint,Classic inkl. Schale mint,Classic inkl. Schale mint - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Classic-inkl-Schale-mint,,,Product Info Column,,24.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）它甚至可以用来对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。,,,/zielonka/class-geruchskiller/classic-inkl-schale-mint-01_1637.jpg,,,,,1,2,/zielonka/class-geruchskiller/classic-inkl-schale-mint-01_1637.jpg,,,Classic inkl. Schale mint,Classic inkl. Schale mint.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15224,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/class-geruchskiller/classic-inkl-schale-lemon-zielonka_15224.jpg,,,,,Classic inkl. Schale Lemon,Classic inkl. Schale Lemon,Classic inkl. Schale Lemon - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Classic-inkl-Schale-Lemon,,,Product Info Column,,24.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）它甚至可以用来对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。,,,/zielonka/class-geruchskiller/classic-inkl-schale-lemon-zielonka_15224.jpg,,,,,1,2,/zielonka/class-geruchskiller/classic-inkl-schale-lemon-zielonka_15224.jpg,,,Classic inkl. Schale Lemon,Classic inkl. Schale Lemon.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_40009,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        Classic inkl. Schale    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/class-geruchskiller/-spulm-geruchskiller-plus-'2-in-1'-weiss-01_1605.jpg,,,,, Spülm.-Geruchskiller Plus '2 in 1' weiss, Spülm.-Geruchskiller Plus '2 in 1' weiss, Spülm.-Geruchskiller Plus '2 in 1' weiss - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,-Spulm-Geruchskiller-Plus-'2-in-1'-weiss,,,Product Info Column,,15.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）它甚至可以用来对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。,,,/zielonka/class-geruchskiller/-spulm-geruchskiller-plus-'2-in-1'-weiss-01_1605.jpg,,,,,1,2,/zielonka/class-geruchskiller/-spulm-geruchskiller-plus-'2-in-1'-weiss-01_1605.jpg,,, Splm.-Geruchskiller Plus '2 in 1' weiss, Splm.-Geruchskiller Plus '2 in 1' weiss.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
