sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
de-victorinox_4.0521.3h,base,Kitchen,simple,[Default Category]/Manikur,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Victorinox Gürteletui Leder horizontal</h1>Im Jahre 1884 gründete der Schweizer Pionier Karl Elsener eine Messerschmiede-Werkstatt.<br>Wenig später legte er mit der Entwicklung des legendären «Original Swiss Army Knife das Fundament für eine beispiellose Unternehmensgeschichte.<br>Heute produziert und vertreibt das unabhängige Familienunternehmen Victorinox weltweit neben Taschen-sowie Haushalt- und Berufsmessern auch Uhren.<br>Jedes Produkt ist Ausdruck von Schweizer Qualität und schweizerischem Erfindergeist.<br>Victorinox überzeugt sowohl durch eine wertige Verarbeitung, als auch durch die sorgsame Auswahlund Kombination ausgesuchter Materialien.<br>Victorinox vereint technische Präzision und herausragendes Design.<br>Moderne, hochwertige Messer aus dem traditionsreichen Hause Victorinox,versprechen Qualität, Nützlichkeit und Zuverlässigkeit.<br>Mit Victorinox machen Sie jeden Weg zu einer Entdeckungsreise.<br>Lassen auch Sie sich von dem reichen Victorinox Sortiment inspirieren.    </div>",No,,,0,/victorinox/sonstige/gurteletui-leder-horizontal-victorinox_4.jpg,,,,,Gürteletui Leder horizontal,Gürteletui Leder horizontal,Gürteletui Leder horizontal - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Gurteletui-Leder-horizontal,,,Product Info Column,,"4,65",0,,,,/victorinox/sonstige/gurteletui-leder-horizontal-victorinox_4.jpg,,,,,1,2,/victorinox/sonstige/gurteletui-leder-horizontal-victorinox_4.jpg,,,Grteletui Leder horizontal,Grteletui Leder horizontal.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_7.6072,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Sparschäler J-STAr</h1>    </div>",No,,,0,/victorinox/sonstige/sparschaler-j-star-victorinox_7.jpg,,,,,Sparschäler J-STAR,Sparschäler J-STAR,Sparschäler J-STAR - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Sparschaler-J-STAR,,,Product Info Column,,"4,70",0,,,,/victorinox/sonstige/sparschaler-j-star-victorinox_7.jpg,,,,,1,2,/victorinox/sonstige/sparschaler-j-star-victorinox_7.jpg,,,Sparschler J-STAR,Sparschler J-STAR.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_6.8526.17l5b,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Victorinox Santokumesser Kullen Fibrox Blister, Pink, 17 cm,<h1>Die ideale Verbindung aus Schweizer Präzisionsarbeit und frischen Farben.<br>Dieses universelle Haushalts- und Küchenmesser von Victorinox sieht nicht nur schön aus, sondern ist auch ein wahrer Alleskönner. Dank des ergonomisch geformten, rutschfesten Griffs liegt das Messer hervorragend und perfekt ausbalanciert in der Hand.<br>- erstklassiger rostfreier Messerstahl<br>- längs und quer konisch geschnitten<br>- hohe Schnitthaltigkeit<br>- lasergeprüfter Schnittwinkel<br>- hygienischer Polyamidgriff (Fibrox)<br>- spülmaschinenfest<br>Klinge: rostfreier Stahl<br>Klingenlänge: 170 mm<br>Länge: 375 mm<br>Breite: 46 mm<br>Höhe: 18 mm    </h1></h1></div>",No,,,0,/victorinox/sonstige/santokumesser-kullen-pink-17cm-blister-01_1554.jpg,,,,,"Santokumesser Kullen,pink 17cm,Blister","Santokumesser Kullen,pink 17cm,Blister","Santokumesser Kullen,pink 17cm,Blister - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Santokumesser-Kullen-pink-17cm-Blister,,,Product Info Column,,"39,50",0,,,,/victorinox/sonstige/santokumesser-kullen-pink-17cm-blister-01_1554.jpg,,,,,1,2,/victorinox/sonstige/santokumesser-kullen-pink-17cm-blister-01_1554.jpg,,,"Santokumesser Kullen,pink 17cm,Blister","Santokumesser Kullen,pink 17cm,Blister.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_6.8526.17l9b,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Victorinox Santokumesser Kullen Fibrox Blister, Orange, 17 cm,<h1>Die ideale Verbindung aus Schweizer Präzisionsarbeit und frischen Farben.<br>Dieses universelle Haushalts- und Küchenmesser von Victorinox sieht nicht nur schön aus, sondern ist auch ein wahrer Alleskönner. Dank des ergonomisch geformten, rutschfesten Griffs liegt das Messer hervorragend und perfekt ausbalanciert in der Hand.<br>- erstklassiger rostfreier Messerstahl<br>- längs und quer konisch geschnitten<br>- hohe Schnitthaltigkeit<br>- lasergeprüfter Schnittwinkel<br>- hygienischer Polyamidgriff (Fibrox)<br>- spülmaschinenfest<br>Klinge: rostfreier Stahl<br>Klingenlänge: 170 mm<br>Länge: 375 mm<br>Breite: 46 mm<br>Höhe: 18 mm    </h1></h1></div>",No,,,0,/victorinox/sonstige/santokumesser-kullen-orange-17cm-blister-01_1556.jpg,,,,,"Santokumesser Kullen,orange 17cm,Blister","Santokumesser Kullen,orange 17cm,Blister","Santokumesser Kullen,orange 17cm,Blister - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Santokumesser-Kullen-orange-17cm-Blister,,,Product Info Column,,"39,50",0,,,,/victorinox/sonstige/santokumesser-kullen-orange-17cm-blister-01_1556.jpg,,,,,1,2,/victorinox/sonstige/santokumesser-kullen-orange-17cm-blister-01_1556.jpg,,,"Santokumesser Kullen,orange 17cm,Blister","Santokumesser Kullen,orange 17cm,Blister.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_6.8526.17l4b,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Victorinox Santokumesser Kullen Fibrox Blister, Grün, 17 cm,<h1>Die ideale Verbindung aus Schweizer Präzisionsarbeit und frischen Farben.<br>Dieses universelle Haushalts- und Küchenmesser von Victorinox sieht nicht nur schön aus, sondern ist auch ein wahrer Alleskönner. Dank des ergonomisch geformten, rutschfesten Griffs liegt das Messer hervorragend und perfekt ausbalanciert in der Hand.<br>- erstklassiger rostfreier Messerstahl<br>- längs und quer konisch geschnitten<br>- hohe Schnitthaltigkeit<br>- lasergeprüfter Schnittwinkel<br>- hygienischer Polyamidgriff (Fibrox)<br>- spülmaschinenfest<br>Klinge: rostfreier Stahl<br>Klingenlänge: 170 mm<br>Länge: 375 mm<br>Breite: 46 mm<br>Höhe: 18 mm    </h1></h1></div>",No,,,0,/victorinox/sonstige/santokumesser-kullen-grun-17cm-blister-01_1553.jpg,,,,,"Santokumesser Kullen,grün 17cm,Blister","Santokumesser Kullen,grün 17cm,Blister","Santokumesser Kullen,grün 17cm,Blister - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Santokumesser-Kullen-grun-17cm-Blister,,,Product Info Column,,"39,50",0,,,,/victorinox/sonstige/santokumesser-kullen-grun-17cm-blister-01_1553.jpg,,,,,1,2,/victorinox/sonstige/santokumesser-kullen-grun-17cm-blister-01_1553.jpg,,,"Santokumesser Kullen,grn 17cm,Blister","Santokumesser Kullen,grn 17cm,Blister.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_6.8526.17l8b,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Victorinox Santokumesser Kullen Fibrox Blister, Gelb, 17 cm,<h1>Die ideale Verbindung aus Schweizer Präzisionsarbeit und frischen Farben.<br>Dieses universelle Haushalts- und Küchenmesser von Victorinox sieht nicht nur schön aus, sondern ist auch ein wahrer Alleskönner. Dank des ergonomisch geformten, rutschfesten Griffs liegt das Messer hervorragend und perfekt ausbalanciert in der Hand.<br>- erstklassiger rostfreier Messerstahl<br>- längs und quer konisch geschnitten<br>- hohe Schnitthaltigkeit<br>- lasergeprüfter Schnittwinkel<br>- hygienischer Polyamidgriff (Fibrox)<br>- spülmaschinenfest<br>Klinge: rostfreier Stahl<br>Klingenlänge: 170 mm<br>Länge: 375 mm<br>Breite: 46 mm<br>Höhe: 18 mm    </h1></h1></div>",No,,,0,/victorinox/sonstige/santokumesser-kullen-gelb-17cm-blister-01_1555.jpg,,,,,"Santokumesser Kullen,gelb 17cm,Blister","Santokumesser Kullen,gelb 17cm,Blister","Santokumesser Kullen,gelb 17cm,Blister - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Santokumesser-Kullen-gelb-17cm-Blister,,,Product Info Column,,"39,50",0,,,,/victorinox/sonstige/santokumesser-kullen-gelb-17cm-blister-01_1555.jpg,,,,,1,2,/victorinox/sonstige/santokumesser-kullen-gelb-17cm-blister-01_1555.jpg,,,"Santokumesser Kullen,gelb 17cm,Blister","Santokumesser Kullen,gelb 17cm,Blister.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_7.2503.17g,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Santokumesser 17 cm</h1> <br><h3>Tools</h3><h3>Beschreibung</h3>Die Vorzüge der Keramikmesser sind beste Schneidqualität, Schnitthaltigkeit und Geschmacksneutralität. Durch das Keramikmaterial sind die Messer sehr leicht und wiegen nur halb so viel wie Stahlmesser in vergleichbarer Grösse. <br>Aufgrund ihrer Härte bleiben die Klingen überdurchschnittlich lange scharf. Keramikmesser sind zudem korrosionsbeständig und wegen ihrer glatten, sehr dichten Oberfläche unempfindlich gegen Säuren. Keramik ist übrigens besonders pflegeleicht: feucht abwischen, trocknen und sorgfältig in der Schutzhülle aufbewahren genügt. <br>Hergestellt werden die Klingen aus ultrareinem Zirkonoxidpulver, das mit einem Druck von 1500 bar gepresst und in speziellen Sinteröfen bei Temperaturen von 1500 °C gesintert wird. Dadurch entsteht eine Klinge von extremer Festigkeit, die beinahe so hart ist wie Diamant.<br>Farbe: Schwarz<h3>Länge mm</h3>170<h3>Breite mm</h3>46<h3>Höhe mm</h3>18    </div>",No,,,0,/victorinox/sonstige/santokumesser-ceramicline-fibrox-geschenkschachtel-17cm-01_525.jpg,,,,,Santokumesser CeramicLine Fibrox Geschenkschachtel 17cm,Santokumesser CeramicLine Fibrox Geschenkschachtel 17cm,Santokumesser CeramicLine Fibrox Geschenkschachtel 17cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Santokumesser-CeramicLine-Fibrox-Geschenkschachtel-17cm,,,Product Info Column,,"82,00",0,,,,/victorinox/sonstige/santokumesser-ceramicline-fibrox-geschenkschachtel-17cm-01_525.jpg,,,,,1,2,/victorinox/sonstige/santokumesser-ceramicline-fibrox-geschenkschachtel-17cm-01_525.jpg,,,Santokumesser CeramicLine Fibrox Geschenkschachtel 17cm,Santokumesser CeramicLine Fibrox Geschenkschachtel 17cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_6.7936.12l5b,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Pizzamesser,pink mit Wellen, 2tlg.</h1> <br><h3>Tools</h3>;<h3>Beschreibung</h3>Die Pizza; sie gehört zu den Nationalgerichten der Italiener und steht auch bei uns ganz hoch im Kurs – die Pizza. Kein Wunder, denn das Trendgericht schmeckt Gross und Klein, im Sommer oder Winter, Jung und Alt gleichermassen gut. Dies mag in den unzählig variablen Belägen begründet sein. Es gibt fast nichts, was man nicht auf den runden Teigfladen legen kann. Für die wirklichen Pizza Fans kann die Pizza nicht gross genug sein. Hier kommen die scharfen Helfer aus der Schweiz zum Tragen. Farblich sortiert, damit auch jeder Geniesser sein eigenes Messer benutzt und extrem scharf.<br>Farbe: Pink<br>Schliffart: Wellenschliff<h3>Länge mm</h3>232<h3>Breite mm</h3>12<h3>Höhe mm</h3>25    </div>",No,,,0,/victorinox/sonstige/pizzamesser-pink-mit-wellen-2-auf-blister-victorinox_6.jpg,,,,,"Pizzamesser,pink mit Wellen,2 auf Blister","Pizzamesser,pink mit Wellen,2 auf Blister","Pizzamesser,pink mit Wellen,2 auf Blister - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Pizzamesser-pink-mit-Wellen-2-auf-Blister,,,Product Info Column,,"13,20",0,,,,/victorinox/sonstige/pizzamesser-pink-mit-wellen-2-auf-blister-victorinox_6.jpg,,,,,1,2,/victorinox/sonstige/pizzamesser-pink-mit-wellen-2-auf-blister-victorinox_6.jpg,,,"Pizzamesser,pink mit Wellen,2 auf Blister","Pizzamesser,pink mit Wellen,2 auf Blister.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_6.7936.12l9b,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Pizzamesser,orange mit Wellen, 2tlg</h1> <br><h3>Tools</h3><h3>Beschreibung</h3>Die Pizza; sie gehört zu den Nationalgerichten der Italiener und steht auch bei uns ganz hoch im Kurs – die Pizza. Kein Wunder, denn das Trendgericht schmeckt Gross und Klein, im Sommer oder Winter, Jung und Alt gleichermassen gut. Dies mag in den unzählig variablen Belägen begründet sein. Es gibt fast nichts, was man nicht auf den runden Teigfladen legen kann. Für die wirklichen Pizza Fans kann die Pizza nicht gross genug sein. Hier kommen die scharfen Helfer aus der Schweiz zum Tragen. Farblich sortiert, damit auch jeder Geniesser sein eigenes Messer benutzt und extrem scharf.<br>Farbe: Orange<br>Schliffart: Wellenschliff<h3>Länge mm</h3>232<h3>Breite mm</h3>12<h3>Höhe mm</h3>25    </div>",No,,,0,/victorinox/sonstige/pizzamesser-orange-mit-wellen-2-auf-blister-victorinox_6.jpg,,,,,"Pizzamesser,orange mit Wellen,2 auf Blister","Pizzamesser,orange mit Wellen,2 auf Blister","Pizzamesser,orange mit Wellen,2 auf Blister - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Pizzamesser-orange-mit-Wellen-2-auf-Blister,,,Product Info Column,,"13,20",0,,,,/victorinox/sonstige/pizzamesser-orange-mit-wellen-2-auf-blister-victorinox_6.jpg,,,,,1,2,/victorinox/sonstige/pizzamesser-orange-mit-wellen-2-auf-blister-victorinox_6.jpg,,,"Pizzamesser,orange mit Wellen,2 auf Blister","Pizzamesser,orange mit Wellen,2 auf Blister.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_6.7936.12l4b,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Pizzamesser,grün mit Wellen, 2tlg.</h1> <br><h3>Tools</h3><h3>Beschreibung</h3>Die Pizza; sie gehört zu den Nationalgerichten der Italiener und steht auch bei uns ganz hoch im Kurs – die Pizza. Kein Wunder, denn das Trendgericht schmeckt Gross und Klein, im Sommer oder Winter, Jung und Alt gleichermassen gut. Dies mag in den unzählig variablen Belägen begründet sein. Es gibt fast nichts, was man nicht auf den runden Teigfladen legen kann. Für die wirklichen Pizza Fans kann die Pizza nicht gross genug sein. Hier kommen die scharfen Helfer aus der Schweiz zum Tragen. Farblich sortiert, damit auch jeder Geniesser sein eigenes Messer benutzt und extrem scharf.<br>Farbe: Hellgrün<br>Schliffart: Wellenschliff<h3>Länge mm</h3>232<h3>Breite mm</h3>12<h3>Höhe mm</h3>25    </div>",No,,,0,/victorinox/sonstige/pizzamesser-grun-mit-wellen-2-auf-blister-victorinox_6.jpg,,,,,"Pizzamesser,grün mit Wellen,2 auf Blister","Pizzamesser,grün mit Wellen,2 auf Blister","Pizzamesser,grün mit Wellen,2 auf Blister - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Pizzamesser-grun-mit-Wellen-2-auf-Blister,,,Product Info Column,,"13,20",0,,,,/victorinox/sonstige/pizzamesser-grun-mit-wellen-2-auf-blister-victorinox_6.jpg,,,,,1,2,/victorinox/sonstige/pizzamesser-grun-mit-wellen-2-auf-blister-victorinox_6.jpg,,,"Pizzamesser,grn mit Wellen,2 auf Blister","Pizzamesser,grn mit Wellen,2 auf Blister.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_6.7936.12l8b,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Pizzamesser,gelb mit Wellen, 2tlg.</h1> <br><h3>Tools</h3><h3>Beschreibung</h3>Die Pizza; sie gehört zu den Nationalgerichten der Italiener und steht auch bei uns ganz hoch im Kurs – die Pizza. Kein Wunder, denn das Trendgericht schmeckt Gross und Klein, im Sommer oder Winter, Jung und Alt gleichermassen gut. Dies mag in den unzählig variablen Belägen begründet sein. Es gibt fast nichts, was man nicht auf den runden Teigfladen legen kann. Für die wirklichen Pizza Fans kann die Pizza nicht gross genug sein. Hier kommen die scharfen Helfer aus der Schweiz zum Tragen. Farblich sortiert, damit auch jeder Geniesser sein eigenes Messer benutzt und extrem scharf.<br>Farbe: Gelb<br>Schliffart: Wellenschliff<h3>Länge mm</h3>232<h3>Breite mm</h3>12<h3>Höhe mm</h3>25    </div>",No,,,0,/victorinox/sonstige/pizzamesser-gelb-mit-wellen-2-auf-blister-victorinox_6.jpg,,,,,"Pizzamesser,gelb mit Wellen,2 auf Blister","Pizzamesser,gelb mit Wellen,2 auf Blister","Pizzamesser,gelb mit Wellen,2 auf Blister - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Pizzamesser-gelb-mit-Wellen-2-auf-Blister,,,Product Info Column,,"13,20",0,,,,/victorinox/sonstige/pizzamesser-gelb-mit-wellen-2-auf-blister-victorinox_6.jpg,,,,,1,2,/victorinox/sonstige/pizzamesser-gelb-mit-wellen-2-auf-blister-victorinox_6.jpg,,,"Pizzamesser,gelb mit Wellen,2 auf Blister","Pizzamesser,gelb mit Wellen,2 auf Blister.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_6.7936.12l5,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Pizzamesser</h1> <br><h3>Tools</h3>;<h3>Beschreibung</h3>Die Pizza; sie gehört zu den Nationalgerichten der Italiener und steht auch bei uns ganz hoch im Kurs – die Pizza. Kein Wunder, denn das Trendgericht schmeckt Gross und Klein, im Sommer oder Winter, Jung und Alt gleichermassen gut. Dies mag in den unzählig variablen Belägen begründet sein. Es gibt fast nichts, was man nicht auf den runden Teigfladen legen kann. Für die wirklichen Pizza Fans kann die Pizza nicht gross genug sein. Hier kommen die scharfen Helfer aus der Schweiz zum Tragen. Farblich sortiert, damit auch jeder Geniesser sein eigenes Messer benutzt und extrem scharf.<br>Farbe: Pink<br>Schliffart: Wellenschliff<h3>Länge mm</h3>232<h3>Breite mm</h3>12<h3>Höhe mm</h3>25    </div>",No,,,0,/victorinox/sonstige/pizzamesser-pink-mit-wellen-01_565.jpg,,,,,"Pizzamesser, Pink, mit Wellen","Pizzamesser, Pink, mit Wellen","Pizzamesser, Pink, mit Wellen - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Pizzamesser-Pink-mit-Wellen,,,Product Info Column,,"7,10",0,,,,/victorinox/sonstige/pizzamesser-pink-mit-wellen-01_565.jpg,,,,,1,2,/victorinox/sonstige/pizzamesser-pink-mit-wellen-01_565.jpg,,,"Pizzamesser, Pink, mit Wellen","Pizzamesser, Pink, mit Wellen.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_6.7936.12l9,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Pizzamesser</h1> <br><h3>Tools</h3><h3>Beschreibung</h3>Die Pizza; sie gehört zu den Nationalgerichten der Italiener und steht auch bei uns ganz hoch im Kurs – die Pizza. Kein Wunder, denn das Trendgericht schmeckt Gross und Klein, im Sommer oder Winter, Jung und Alt gleichermassen gut. Dies mag in den unzählig variablen Belägen begründet sein. Es gibt fast nichts, was man nicht auf den runden Teigfladen legen kann. Für die wirklichen Pizza Fans kann die Pizza nicht gross genug sein. Hier kommen die scharfen Helfer aus der Schweiz zum Tragen. Farblich sortiert, damit auch jeder Geniesser sein eigenes Messer benutzt und extrem scharf.<br>Farbe: Orange<br>Schliffart: Wellenschliff<h3>Länge mm</h3>232<h3>Breite mm</h3>12<h3>Höhe mm</h3>25    </div>",No,,,0,/victorinox/sonstige/pizzamesser-orange-mit-wellen-01_552.jpg,,,,,"Pizzamesser, orange mit Wellen","Pizzamesser, orange mit Wellen","Pizzamesser, orange mit Wellen - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Pizzamesser-orange-mit-Wellen,,,Product Info Column,,"7,10",0,,,,/victorinox/sonstige/pizzamesser-orange-mit-wellen-01_552.jpg,,,,,1,2,/victorinox/sonstige/pizzamesser-orange-mit-wellen-01_552.jpg,,,"Pizzamesser, orange mit Wellen","Pizzamesser, orange mit Wellen.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_6.7936.12l4,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Pizzamesser</h1> <br><h3>Tools</h3><h3>Beschreibung</h3>Die Pizza; sie gehört zu den Nationalgerichten der Italiener und steht auch bei uns ganz hoch im Kurs – die Pizza. Kein Wunder, denn das Trendgericht schmeckt Gross und Klein, im Sommer oder Winter, Jung und Alt gleichermassen gut. Dies mag in den unzählig variablen Belägen begründet sein. Es gibt fast nichts, was man nicht auf den runden Teigfladen legen kann. Für die wirklichen Pizza Fans kann die Pizza nicht gross genug sein. Hier kommen die scharfen Helfer aus der Schweiz zum Tragen. Farblich sortiert, damit auch jeder Geniesser sein eigenes Messer benutzt und extrem scharf.<br>Farbe: Hellgrün<br>Schliffart: Wellenschliff<h3>Länge mm</h3>232<h3>Breite mm</h3>12<h3>Höhe mm</h3>25    </div>",No,,,0,/victorinox/sonstige/pizzamesser-grun-mit-wellen-01_587.jpg,,,,,"Pizzamesser, grün mit Wellen","Pizzamesser, grün mit Wellen","Pizzamesser, grün mit Wellen - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Pizzamesser-grun-mit-Wellen,,,Product Info Column,,"7,10",0,,,,/victorinox/sonstige/pizzamesser-grun-mit-wellen-01_587.jpg,,,,,1,2,/victorinox/sonstige/pizzamesser-grun-mit-wellen-01_587.jpg,,,"Pizzamesser, grn mit Wellen","Pizzamesser, grn mit Wellen.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_6.7936.12l8,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Pizzamesser</h1> <br><h3>Tools</h3><h3>Beschreibung</h3>Die Pizza; sie gehört zu den Nationalgerichten der Italiener und steht auch bei uns ganz hoch im Kurs – die Pizza. Kein Wunder, denn das Trendgericht schmeckt Gross und Klein, im Sommer oder Winter, Jung und Alt gleichermassen gut. Dies mag in den unzählig variablen Belägen begründet sein. Es gibt fast nichts, was man nicht auf den runden Teigfladen legen kann. Für die wirklichen Pizza Fans kann die Pizza nicht gross genug sein. Hier kommen die scharfen Helfer aus der Schweiz zum Tragen. Farblich sortiert, damit auch jeder Geniesser sein eigenes Messer benutzt und extrem scharf.<br>Farbe: Gelb<br>Schliffart: Wellenschliff<h3>Länge mm</h3>232<h3>Breite mm</h3>12<h3>Höhe mm</h3>25    </div>",No,,,0,/victorinox/sonstige/pizzamesser-gelb-mit-wellen-01_512.jpg,,,,,"Pizzamesser, gelb mit Wellen","Pizzamesser, gelb mit Wellen","Pizzamesser, gelb mit Wellen - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Pizzamesser-gelb-mit-Wellen,,,Product Info Column,,"7,10",0,,,,/victorinox/sonstige/pizzamesser-gelb-mit-wellen-01_512.jpg,,,,,1,2,/victorinox/sonstige/pizzamesser-gelb-mit-wellen-01_512.jpg,,,"Pizzamesser, gelb mit Wellen","Pizzamesser, gelb mit Wellen.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
