sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
de-wmf_1291466040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wmf/besteck/eierloffel-nuova-set-6--wmf_1291466040.jpg,,,,,Eierlöffel NUOVA SET 6	,Eierlöffel NUOVA SET 6	,Eierlöffel NUOVA SET 6	 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Eierloffel-NUOVA-SET-6-,,,Product Info Column,,"12,95",0,,,,/wmf/besteck/eierloffel-nuova-set-6--wmf_1291466040.jpg,,,,,1,2,/wmf/besteck/eierloffel-nuova-set-6--wmf_1291466040.jpg,,,Eierlffel NUOVA SET 6	,Eierlffel NUOVA SET 6	.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1281906270,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Kinderkochset 2-teilig Willy Mia Fred</h1>Das Koch-Set für Kinder bestehend aus einem Haifischmesser und einem Schäler mit Affengesicht.<br>Wir bieten Ihrem Kind in jeder Phase des Groß-Werdens das Besteck, das in Größe und Proportionen zu ihm passt. Schon bei der Produktentwicklung berücksichtigen wir die Fähigkeiten, die Ihr Kind in seiner Altersstufe hat. Deshalb sind WMF Baby-, Kinder- und Juniorbestecke auf die motorischen, geistigen sowie emotionalen Phasen abgestimmt, vom Säugling bis zum Schulkind.<br>Das Highlight des WMF Kinderbestecks sind die drei Freunde „Willy Mia Fred“. Die drei lustigen Figuren beleben das WMF Kindersortiment und tauchen immer wieder auf Bestecken oder Geschirr auf. Sie haben eine positive Ausstrahlung und bereiten Kindern Freude. Auf jedem Besteckteil sind Abbildungen von Willy, Mia oder Fred. Das Besteck hat eine kindergerechte Form, sodass Ihre Kinder den Umgang mit Besteck spielend Erlernen.<br><h3>Material </h3>Klinge des Messer: Edelstahl rostfrei<br>Klinge des Schäler: Edelstahl<br>Griffe Kunststoff<br><h3>ProduktEigenschaften</h3> spülmaschinenfest<br><h3>Maße</h3> Länge in mm: 110/170    </div>",No,,,0,/wmf/besteck/kinder-set-2-teilig-willy-mia-fred-wmf_1281906270--1.jpg,,,,,Kinder-Set 2-teilig Willy Mia Fred,Kinder-Set 2-teilig Willy Mia Fred,Kinder-Set 2-teilig Willy Mia Fred - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kinder-Set-2-teilig-Willy-Mia-Fred,,,Product Info Column,,"17,95",0,,,,/wmf/besteck/kinder-set-2-teilig-willy-mia-fred-wmf_1281906270--1.jpg,,,,,1,2,/wmf/besteck/kinder-set-2-teilig-willy-mia-fred-wmf_1281906270--1.jpg,,,Kinder-Set 2-teilig Willy Mia Fred,Kinder-Set 2-teilig Willy Mia Fred.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1280376040,base,Kitchen,simple,[Default Category]/Küchenwaren/Bestecke,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Kinderbesteck Set 4-teilig Lustige Reise</h1>Die geprägten Motive machen Lust, die Welt kennenzulernen.<br>Highlights des WMF Kinderbestecks Lustige Reise:<br>geprägte Motive, die Lust aufs Reisen machen<br>Kinder- und altersgerechte Form zum spielenden Erlernen von Umgang mit Besteck, siehe Altersempfehlung weiter oben unter Auszeichnungen<br>Kinderbesteck aus WMF Cromargan®, hochglanzpoliert<br>spülmaschinenfest<br>Material: Cromargan® Edelstahl Rostfrei 18/10 poliert<br>Inhalt: 1x Löffel, 1x Gabel, 1x Messer, 1x Kleiner Löffel<br>spülmaschinenfest<br>die 4 kindergerechten Motive Flugzeug, Zug, Schiff und Auto laden zum Zugreifen und Hantieren ein    </div>",No,,,0,/wmf/besteck/kinderbesteck-4tlg-lustige-reise-wmf_1280376040.jpg,,,,,Kinderbesteck 4tlg. Lustige Reise,Kinderbesteck 4tlg. Lustige Reise,Kinderbesteck 4tlg. Lustige Reise - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kinderbesteck-4tlg-Lustige-Reise,,,Product Info Column,,"29,95",0,,,,/wmf/besteck/kinderbesteck-4tlg-lustige-reise-wmf_1280376040.jpg,,,,,1,2,/wmf/besteck/kinderbesteck-4tlg-lustige-reise-wmf_1280376040.jpg,,,Kinderbesteck 4tlg. Lustige Reise,Kinderbesteck 4tlg. Lustige Reise.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1274916340,base,Kitchen,simple,[Default Category]/Küchenwaren/Bestecke,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Besteck-Set 30-teilig Jette Cromargan protect®<h1>30-teilige Besteck-Sets sind für 6 Personen ausgelegt und beinhalten: 6x Menuelöffel, 6x Menuegabel, 6x Menuemesser, 6x Kaffeelöffel, 6x Kuchengabel. WMF hat eine große Auswahl an Besteck Einzelteilen, so lässt sich das 30-teilige Besteck-Set beliebig erweitern und Sie kaufen nur das, was Sie wirklich benötigen.<br>Ein Besteck der Designerin Jette Joop. Die Grundform ist klassisch, Länge und Proportionen sind modern. Die Facetten am Stielende sind plastisch herausgearbeitet und erinnern an den Schliff eines Edelsteins.<br><h3>Material </h3>Cromargan protect®<br>poliert<br>Messer mit eingesetzter Klinge<br><h3>Produkteigenschaften </h3>spülmaschinenfest    </h1></h1></div>",No,,,0,/wmf/besteck/wmf-besteck-st-30-teilig-jette-cromargan-protect--wmf_1274916340.jpg,,,,,wmf Besteck-St 30-teilig Jette Cromargan Protect ,wmf Besteck-St 30-teilig Jette Cromargan Protect ,wmf Besteck-St 30-teilig Jette Cromargan Protect  - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,wmf-Besteck-St-30-teilig-Jette-Cromargan-Protect-,,,Product Info Column,,"349,00",0,,,,/wmf/besteck/wmf-besteck-st-30-teilig-jette-cromargan-protect--wmf_1274916340.jpg,,,,,1,2,/wmf/besteck/wmf-besteck-st-30-teilig-jette-cromargan-protect--wmf_1274916340.jpg,,,wmf Besteck-St 30-teilig Jette Cromargan Protect ,wmf Besteck-St 30-teilig Jette Cromargan Protect .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1272916040,base,Kitchen,simple,[Default Category]/Küchenwaren/Bestecke,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Besteck-Set 30-teilig Palma</h1>30-teilige Besteck-Sets sind für 6 Personen ausgelegt und beinhalten: 6x Menuelöffel, 6x Menuegabel, 6x Menuemesser, 6x Kaffeelöffel, 6x Kuchengabel. WMF hat eine große Auswahl an Besteck Einzelteilen, so lässt sich das 30-teilige Besteck-Set beliebig erweitern und Sie kaufen nur das, was Sie wirklich benötigen.<br>Das Besteck gefällt durch seine Schlichtheit und die stimmigen Proportionen. Das neutrale Design passt in eine moderne Umgebung ebenso wie zu traditionellen Formen. Dank seiner zurückhaltenden Eleganz lässt sich Palma vielseitig kombinieren.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>spülmaschinenfest    </div>",No,,,0,/wmf/besteck/besteck-set-30-teilig-palma-01_1980.jpg,,,,,Besteck Set 30-teilig Palma,Besteck Set 30-teilig Palma,Besteck Set 30-teilig Palma - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Besteck-Set-30-teilig-Palma,,,Product Info Column,,"129,00",0,,,,/wmf/besteck/besteck-set-30-teilig-palma-01_1980.jpg,,,,,1,2,/wmf/besteck/besteck-set-30-teilig-palma-01_1980.jpg,,,Besteck Set 30-teilig Palma,Besteck Set 30-teilig Palma.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1272036049,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Menuemesser Palma</h1>Das Menuemesser ist für den Hauptgang oder die Hauptspeise bei Menüs bestimmt. Man unterscheidet bei Menuemessern zwischen den hochwertigen Messern mit eingesetzter Klinge, bei denen die Klinge aus Spezialklingenstahl in das Messerheft eingelassen wird und Monobloc-Messern, die ""aus einem Stück"" gefertigt sind. Wie die Menuegabel und der Menuelöffel gehört das Menuemesser, zur Grundausstattung eines jeden Menü-Gedecks. Das Menuemesser ist mit Wellenschliff versehen, um jegliche Arten von Speisen nahezu mühelos zerkleinern zu können. Grundsätzlich muss das Menuemesser rechts, mit der Klinge zum Teller hin, eingedeckt werden. Zu jeder WMF Besteck-Kollektion gibt es das passende Menuemesser.<br>Das Besteck gefällt durch seine Schlichtheit und die stimmigen Proportionen. Das neutrale Design passt in eine moderne Umgebung ebenso wie zu traditionellen Formen. Dank seiner zurückhaltenden Eleganz lässt sich Palma vielseitig kombinieren.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>spülmaschinenfest<br><h3>Maße </h3>Länge in mm: 234    </div>",No,,,0,/wmf/besteck/menuemesser-mono-palma-wmf_1272036049.jpg,,,,,Menuemesser mono PALMA,Menuemesser mono PALMA,Menuemesser mono PALMA - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Menuemesser-mono-PALMA,,,Product Info Column,,"5,95",0,,,,/wmf/besteck/menuemesser-mono-palma-wmf_1272036049.jpg,,,,,1,2,/wmf/besteck/menuemesser-mono-palma-wmf_1272036049.jpg,,,Menuemesser mono PALMA,Menuemesser mono PALMA.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1272016040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Menuelöffel Palma</h1>Der Menuelöffel wird hauptsächlich für Suppen aus dem flachen Teller oder Saucen verwendet. Darüberhinaus kann der Löffel zum Vorlegen von Speisen benutzt werden, denn er hat die selbe Größe wie das mittlere Salatbesteck. Der Menuelöffel hat eine flachere Laffenform als der Sahne-/Tassenlöffel und eignet sich daher auch für flüssige Speisen. Am Tisch wird der Menuelöffel rechts von Teller und Messer eingedeckt. Zu jeder WMF Besteck-Kollektion gibt es den passenden Menuelöffel.<br>Das Besteck gefällt durch seine Schlichtheit und die stimmigen Proportionen. Das neutrale Design passt in eine moderne Umgebung ebenso wie zu traditionellen Formen. Dank seiner zurückhaltenden Eleganz lässt sich Palma vielseitig kombinieren.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>spülmaschinenfest<br><h3>Maße </h3>Länge in mm: 210    </div>",No,,,0,/wmf/besteck/menueloffel-palma-01_1968.jpg,,,,,Menuelöffel Palma,Menuelöffel Palma,Menuelöffel Palma - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Menueloffel-Palma,,,Product Info Column,,"4,95",0,,,,/wmf/besteck/menueloffel-palma-01_1968.jpg,,,,,1,2,/wmf/besteck/menueloffel-palma-01_1968.jpg,,,Menuelffel Palma,Menuelffel Palma.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1285056040,base,Kitchen,simple,[Default Category]/Küchenwaren/Bestecke,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Kinderbesteck 4-teilig The Peppels</h1>The Peppels sind jung, bunt, fröhlich und ein bisschen verrückt. Mal sind sie mit dem Flugzeug oder dem Fahrrad unterwegs, dann findet man sie auf einem Bauernhof umgeben von allerlei Vieh, oder wie in der neuen Motivwelt, in einem Schloss mit einem orangefarbenen Drachen, sich immer wieder neue lustige Spiele ausdenkend, bei den Peppels ist immer was los.<br>Wir bieten Ihrem Kind in jeder Phase des Groß-Werdens das Besteck, das in Größe und Proportionen zu ihm passt. Schon bei der Produktentwicklung berücksichtigen wir die Fähigkeiten, die Ihr Kind in seiner Altersstufe hat. Deshalb sind WMF Baby-, Kinder- und Juniorbestecke auf die motorischen, geistigen sowie emotionalen Phasen abgestimmt, vom Säugling bis zum Schulkind.<br><h3>Material </h3>Cromargan®: Edelstahl Rostfrei 18/10<h3>Produkteigenschaften </h3>spülmaschinenfest<h3>Maße </h3>Länge in mm: 165/185/165/130    </div>",No,,,0,"/wmf/besteck/kinderbesteck-4tlg-""the-peppels""-neu-wmf_1285056040-1.jpg",,,,,"Kinderbesteck 4tlg. ""The Peppels"" neu","Kinderbesteck 4tlg. ""The Peppels"" neu","Kinderbesteck 4tlg. ""The Peppels"" neu - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,"Kinderbesteck-4tlg-""The-Peppels""-neu",,,Product Info Column,,"34,95",0,,,,"/wmf/besteck/kinderbesteck-4tlg-""the-peppels""-neu-wmf_1285056040-1.jpg",,,,,1,2,"/wmf/besteck/kinderbesteck-4tlg-""the-peppels""-neu-wmf_1285056040-1.jpg",,,"Kinderbesteck 4tlg. ""The Peppels"" neu","Kinderbesteck 4tlg. ""The Peppels"" neu.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1158016330,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Menuelöffel Corvo Cromargan protect®<h1>Der Menuelöffel wird hauptsächlich für Suppen aus dem flachen Teller oder Saucen verwendet. Darüberhinaus kann der Löffel zum Vorlegen von Speisen benutzt werden, denn er hat die selbe Größe wie das mittlere Salatbesteck. Der Menuelöffel hat eine flachere Laffenform als der Sahne-/Tassenlöffel und eignet sich daher auch für flüssige Speisen. Am Tisch wird der Menuelöffel rechts von Teller und Messer eingedeckt. Zu jeder WMF Besteck-Kollektion gibt es den passenden Menuelöffel.<br>Das Besteck mit den zwei Gesichtern, klassische Form neu interpretiert.. Das Messer kann liegend oder auf der Klinge stehend eingedeckt werden. Stehend geht der Griff mit Messer und Gabel konform, auf der Seite liegend verhält es sich entgegengesetzt Er fängt schmal an, verbreitert sich und geht mit sanftem Bogen in die Klinge über. Trotz der formalen Strenge liegt das Besteck unglaublich weich in der Hand - die Verbindung von angenehmer Haptik und innovativer Messerform. Die seidige Mattierung rundet den wertigen Gesamteindruck ab.<br>Cromargan protect® - eine glänzende Innovation, international patentiert und nur von WMF. Bei herkömmlichen Bestecken zeigten sich im Test schon nach wenigen Testläufen deutliche Spuren und tiefe Kratzer. Die Oberfläche bei Bestecken aus Cromargan protect® blieb auch bei langen Testphasen nahezu makellos. Ihre Cromargan protect® Vorteile: Kratzbeständig - extrem resistent gegen jede Art von Gebrauchsspuren - polierte Flächen bleiben glänzend, mattierte bleiben matt - rostfrei und spülmaschinenfest - international patentiert - nur von WMF - garantiert alle Eigenschaften des WMF Cromargan®.<br><h3>Material </h3>Cromargan protect®<br>mattiert<br><h3>ProduktEigenschaften</h3> spülmaschinenfest<br><h3>Maße </h3>Länge in mm: 210    </h1></h1></div>",No,,,0,/wmf/besteck/menuloffel-corvo-crom-pro-wmf_1158016330.jpg,,,,,Menülöffel Corvo Crom. PRO,Menülöffel Corvo Crom. PRO,Menülöffel Corvo Crom. PRO - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Menuloffel-Corvo-Crom-PRO,,,Product Info Column,,"8,95",0,,,,/wmf/besteck/menuloffel-corvo-crom-pro-wmf_1158016330.jpg,,,,,1,2,/wmf/besteck/menuloffel-corvo-crom-pro-wmf_1158016330.jpg,,,Menlffel Corvo Crom. PRO,Menlffel Corvo Crom. PRO.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0616687400,base,Kitchen,simple,[Default Category]/Küchenwaren/Bestecke,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Eierbecher ""McEgg"" pink</h1>Mit der bunten McEgg Edition hat WMF eine Erlebniswelt geschaffen, die Kindern sowie auch Erwachsenen großen Spaß macht. Damit es am gedeckten Tisch spannend bleibt, gibt es viele originelle und funktionale Artikel, aus der liebenswerten McEgg Kollektion. Ob Eierbecher, Salzstreuer, Nussknacker oder Teeei – die freundlichen Gesichter zaubern Freude an den Tisch.<br>1x Eierbecher mit Kappe, 1x Eierlöffel<br>Nicht für Kinder unter drei Jahren geeignet.<br>Material: Kunststoff, Cromargan® Edelstahl Rostfrei 18/10    </div>",No,,,0,"/wmf/besteck/eierbecher-""mcegg""-pink-wmf_0616687400--1.jpg",,,,,"Eierbecher ""McEgg"" pink","Eierbecher ""McEgg"" pink","Eierbecher ""McEgg"" pink - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,"Eierbecher-""McEgg""-pink",,,Product Info Column,,"9,95",0,,,,"/wmf/besteck/eierbecher-""mcegg""-pink-wmf_0616687400--1.jpg",,,,,1,2,"/wmf/besteck/eierbecher-""mcegg""-pink-wmf_0616687400--1.jpg",,,"Eierbecher ""McEgg"" pink","Eierbecher ""McEgg"" pink.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1228566340,base,Kitchen,simple,[Default Category]/Küchenwaren/Bestecke,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wmf/besteck/12tlg-dessert-fruhstucksb-ambiente-cp-wmf_1228566340.jpg,,,,,12tlg. Dessert-/Frühstücksb. AMBIENTE CP,12tlg. Dessert-/Frühstücksb. AMBIENTE CP,12tlg. Dessert-/Frühstücksb. AMBIENTE CP - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,12tlg-Dessert-Fruhstucksb-AMBIENTE-CP,,,Product Info Column,,"129,00",0,,,,/wmf/besteck/12tlg-dessert-fruhstucksb-ambiente-cp-wmf_1228566340.jpg,,,,,1,2,/wmf/besteck/12tlg-dessert-fruhstucksb-ambiente-cp-wmf_1228566340.jpg,,,12tlg. Dessert-/Frhstcksb. AMBIENTE CP,12tlg. Dessert-/Frhstcksb. AMBIENTE CP.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1140566340,base,Kitchen,simple,[Default Category]/Küchenwaren/Bestecke,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wmf/besteck/12tlg-dessert-fruhstucksbesteck-merit-wmf_1140566340.jpg,,,,,12tlg. Dessert-/Frühstücksbesteck MERIT,12tlg. Dessert-/Frühstücksbesteck MERIT,12tlg. Dessert-/Frühstücksbesteck MERIT - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,12tlg-Dessert-Fruhstucksbesteck-MERIT,,,Product Info Column,,"199,00",0,,,,/wmf/besteck/12tlg-dessert-fruhstucksbesteck-merit-wmf_1140566340.jpg,,,,,1,2,/wmf/besteck/12tlg-dessert-fruhstucksbesteck-merit-wmf_1140566340.jpg,,,12tlg. Dessert-/Frhstcksbesteck MERIT,12tlg. Dessert-/Frhstcksbesteck MERIT.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1291746046,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wmf/besteck/kaffeebecherloffel-set-6-stuck-nuova-wmf_1291746046.jpg,,,,,Kaffeebecherlöffel Set 6 Stück Nuova,Kaffeebecherlöffel Set 6 Stück Nuova,Kaffeebecherlöffel Set 6 Stück Nuova - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kaffeebecherloffel-Set-6-Stuck-Nuova,,,Product Info Column,,"12,95",0,,,,/wmf/besteck/kaffeebecherloffel-set-6-stuck-nuova-wmf_1291746046.jpg,,,,,1,2,/wmf/besteck/kaffeebecherloffel-set-6-stuck-nuova-wmf_1291746046.jpg,,,Kaffeebecherlffel Set 6 Stck Nuova,Kaffeebecherlffel Set 6 Stck Nuova.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1282959974,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wmf/besteck/kinderset-7-teilig-micky-mouse-wmf_1282959974.jpg,,,,,Kinderset 7-teilig Micky Mouse,Kinderset 7-teilig Micky Mouse,Kinderset 7-teilig Micky Mouse - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kinderset-7-teilig-Micky-Mouse,,,Product Info Column,,"49,95",0,,,,/wmf/besteck/kinderset-7-teilig-micky-mouse-wmf_1282959974.jpg,,,,,1,2,/wmf/besteck/kinderset-7-teilig-micky-mouse-wmf_1282959974.jpg,,,Kinderset 7-teilig Micky Mouse,Kinderset 7-teilig Micky Mouse.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1297776040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wmf/besteck/honig-marmeladeloffel-wings-wmf_1297776040.jpg,,,,,Honig-/Marmeladelöffel WINGS,Honig-/Marmeladelöffel WINGS,Honig-/Marmeladelöffel WINGS - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Honig-Marmeladeloffel-WINGS,,,Product Info Column,,"9,95",0,,,,/wmf/besteck/honig-marmeladeloffel-wings-wmf_1297776040.jpg,,,,,1,2,/wmf/besteck/honig-marmeladeloffel-wings-wmf_1297776040.jpg,,,Honig-/Marmeladelffel WINGS,Honig-/Marmeladelffel WINGS.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1291386040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wmf/besteck/-espressoloffel-set-6-nuova-wmf_1291386040.jpg,,,,, Espressolöffel Set 6 NUOVA, Espressolöffel Set 6 NUOVA, Espressolöffel Set 6 NUOVA - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,-Espressoloffel-Set-6-NUOVA,,,Product Info Column,,"9,95",0,,,,/wmf/besteck/-espressoloffel-set-6-nuova-wmf_1291386040.jpg,,,,,1,2,/wmf/besteck/-espressoloffel-set-6-nuova-wmf_1291386040.jpg,,, Espressolffel Set 6 NUOVA, Espressolffel Set 6 NUOVA.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1291406046,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wmf/besteck/longdrinkloffel-set-6-nuova-wmf_1291406046.jpg,,,,,Longdrinklöffel Set 6 NUOVA,Longdrinklöffel Set 6 NUOVA,Longdrinklöffel Set 6 NUOVA - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Longdrinkloffel-Set-6-NUOVA,,,Product Info Column,,"16,95",0,,,,/wmf/besteck/longdrinkloffel-set-6-nuova-wmf_1291406046.jpg,,,,,1,2,/wmf/besteck/longdrinkloffel-set-6-nuova-wmf_1291406046.jpg,,,Longdrinklffel Set 6 NUOVA,Longdrinklffel Set 6 NUOVA.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1289646046,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wmf/besteck/picker-set-6-type-wmf_1289646046.jpg,,,,,Picker Set 6 TYPE,Picker Set 6 TYPE,Picker Set 6 TYPE - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Picker-Set-6-TYPE,,,Product Info Column,,"24,95",0,,,,/wmf/besteck/picker-set-6-type-wmf_1289646046.jpg,,,,,1,2,/wmf/besteck/picker-set-6-type-wmf_1289646046.jpg,,,Picker Set 6 TYPE,Picker Set 6 TYPE.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1261566340,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wmf/besteck/12tlg-dessert-fruhstucksb-flame-cr-pr-wmf_1261566340.jpg,,,,,12tlg. Dessert-/Frühstücksb. FLAME CR.PR,12tlg. Dessert-/Frühstücksb. FLAME CR.PR,12tlg. Dessert-/Frühstücksb. FLAME CR.PR - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,12tlg-Dessert-Fruhstucksb-FLAME-CR-PR,,,Product Info Column,,"119,00",0,,,,/wmf/besteck/12tlg-dessert-fruhstucksb-flame-cr-pr-wmf_1261566340.jpg,,,,,1,2,/wmf/besteck/12tlg-dessert-fruhstucksb-flame-cr-pr-wmf_1261566340.jpg,,,12tlg. Dessert-/Frhstcksb. FLAME CR.PR,12tlg. Dessert-/Frhstcksb. FLAME CR.PR.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
