sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
WMF_1879961000,base,Kitchen,simple,[Chinese Category]/厨房用具/砧板,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/schneidebrett-38-x-25cm-mit-wmf_1879961000.jpg,,,,,Schneidebrett 38 x 25cm MIT,Schneidebrett 38 x 25cm MIT,Schneidebrett 38 x 25cm MIT - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schneidebrett-38-x-25cm-MIT,,,Product Info Column,,34.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/schneidebrett-38-x-25cm-mit-wmf_1879961000.jpg,,,,,1,2,/wmf/kochen/schneidebrett-38-x-25cm-mit-wmf_1879961000.jpg,,,Schneidebrett 38 x 25cm MIT,Schneidebrett 38 x 25cm MIT.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1875456040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/wender-black-line-kunststoff-wmf_1875456040.jpg,,,,,Wender Black Line Kunststoff,Wender Black Line Kunststoff,Wender Black Line Kunststoff - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Wender-Black-Line-Kunststoff,,,Product Info Column,,17.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/wender-black-line-kunststoff-wmf_1875456040.jpg,,,,,1,2,/wmf/kochen/wender-black-line-kunststoff-wmf_1875456040.jpg,,,Wender Black Line Kunststoff,Wender Black Line Kunststoff.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1875466040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/backschaufel-black-line-kunststoff-wmf_1875466040.jpg,,,,,Backschaufel Black Line Kunststoff,Backschaufel Black Line Kunststoff,Backschaufel Black Line Kunststoff - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Backschaufel-Black-Line-Kunststoff,,,Product Info Column,,17.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/backschaufel-black-line-kunststoff-wmf_1875466040.jpg,,,,,1,2,/wmf/kochen/backschaufel-black-line-kunststoff-wmf_1875466040.jpg,,,Backschaufel Black Line Kunststoff,Backschaufel Black Line Kunststoff.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1875476040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/schopfloffel-black-line-wmf_1875476040.jpg,,,,,Schöpflöffel Black Line,Schöpflöffel Black Line,Schöpflöffel Black Line - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schopfloffel-Black-Line,,,Product Info Column,,17.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/schopfloffel-black-line-wmf_1875476040.jpg,,,,,1,2,/wmf/kochen/schopfloffel-black-line-wmf_1875476040.jpg,,,Schpflffel Black Line,Schpflffel Black Line.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1875566040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/schneebesen-black-line-23cm-wmf_1875566040.jpg,,,,,Schneebesen BLACK LINE 23cm,Schneebesen BLACK LINE 23cm,Schneebesen BLACK LINE 23cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schneebesen-BLACK-LINE-23cm,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/schneebesen-black-line-23cm-wmf_1875566040.jpg,,,,,1,2,/wmf/kochen/schneebesen-black-line-23cm-wmf_1875566040.jpg,,,Schneebesen BLACK LINE 23cm,Schneebesen BLACK LINE 23cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1875646040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/pizzaschneider-black-line-01_1873.jpg,,,,,Pizzaschneider BLACK LINE,Pizzaschneider BLACK LINE,Pizzaschneider BLACK LINE - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Pizzaschneider-BLACK-LINE,,,Product Info Column,,17.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/pizzaschneider-black-line-01_1873.jpg,,,,,1,2,/wmf/kochen/pizzaschneider-black-line-01_1873.jpg,,,Pizzaschneider BLACK LINE,Pizzaschneider BLACK LINE.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1875676040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/apfelausstecher-black-line-wmf_1875676040.jpg,,,,,Apfelausstecher BLACK LINE,Apfelausstecher BLACK LINE,Apfelausstecher BLACK LINE - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Apfelausstecher-BLACK-LINE,,,Product Info Column,,12.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/apfelausstecher-black-line-wmf_1875676040.jpg,,,,,1,2,/wmf/kochen/apfelausstecher-black-line-wmf_1875676040.jpg,,,Apfelausstecher BLACK LINE,Apfelausstecher BLACK LINE.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1875816040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/gemuseschaler-black-line-wmf_1875816040.jpg,,,,,Gemüseschäler BLACK LINE,Gemüseschäler BLACK LINE,Gemüseschäler BLACK LINE - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Gemuseschaler-BLACK-LINE,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/gemuseschaler-black-line-wmf_1875816040.jpg,,,,,1,2,/wmf/kochen/gemuseschaler-black-line-wmf_1875816040.jpg,,,Gemseschler BLACK LINE,Gemseschler BLACK LINE.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1875836040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/sparschaler-black-line-wmf_1875836040.jpg,,,,,Sparschäler BLACK LINE,Sparschäler BLACK LINE,Sparschäler BLACK LINE - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Sparschaler-BLACK-LINE,,,Product Info Column,,14.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/sparschaler-black-line-wmf_1875836040.jpg,,,,,1,2,/wmf/kochen/sparschaler-black-line-wmf_1875836040.jpg,,,Sparschler BLACK LINE,Sparschler BLACK LINE.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1879884500,base,Kitchen,simple,[Chinese Category]/厨房用具/砧板,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/schneidebrett-26x36cm-wmf_1879884500--3.jpg,,,,,Schneidebrett 26x36cm,Schneidebrett 26x36cm,Schneidebrett 26x36cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schneidebrett-26x36cm,,,Product Info Column,,89.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/schneidebrett-26x36cm-wmf_1879884500--3.jpg,,,,,1,2,/wmf/kochen/schneidebrett-26x36cm-wmf_1879884500--3.jpg,,,Schneidebrett 26x36cm,Schneidebrett 26x36cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1879894500,base,Kitchen,simple,[Chinese Category]/厨房用具/砧板,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/schneidebrett-44-x-36cm-wmf_1879894500.jpg,,,,,Schneidebrett 44 x 36cm,Schneidebrett 44 x 36cm,Schneidebrett 44 x 36cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schneidebrett-44-x-36cm,,,Product Info Column,,79.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/schneidebrett-44-x-36cm-wmf_1879894500.jpg,,,,,1,2,/wmf/kochen/schneidebrett-44-x-36cm-wmf_1879894500.jpg,,,Schneidebrett 44 x 36cm,Schneidebrett 44 x 36cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1875416040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/kartoffelstampfer-black-line-wmf_1875416040.jpg,,,,,Kartoffelstampfer BLACK LINE,Kartoffelstampfer BLACK LINE,Kartoffelstampfer BLACK LINE - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kartoffelstampfer-BLACK-LINE,,,Product Info Column,,17.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/kartoffelstampfer-black-line-wmf_1875416040.jpg,,,,,1,2,/wmf/kochen/kartoffelstampfer-black-line-wmf_1875416040.jpg,,,Kartoffelstampfer BLACK LINE,Kartoffelstampfer BLACK LINE.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1875306040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/schopfloffel-black-line-wmf_1875306040.jpg,,,,,Schöpflöffel BLACK LINE,Schöpflöffel BLACK LINE,Schöpflöffel BLACK LINE - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schopfloffel-BLACK-LINE,,,Product Info Column,,17.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/schopfloffel-black-line-wmf_1875306040.jpg,,,,,1,2,/wmf/kochen/schopfloffel-black-line-wmf_1875306040.jpg,,,Schpflffel BLACK LINE,Schpflffel BLACK LINE.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1874516030,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/gemusemesser-classic-line-18cm-wmf_1874516030.jpg,,,,,Gemüsemesser Classic Line 18cm,Gemüsemesser Classic Line 18cm,Gemüsemesser Classic Line 18cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Gemusemesser-Classic-Line-18cm,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/gemusemesser-classic-line-18cm-wmf_1874516030.jpg,,,,,1,2,/wmf/kochen/gemusemesser-classic-line-18cm-wmf_1874516030.jpg,,,Gemsemesser Classic Line 18cm,Gemsemesser Classic Line 18cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1874556030,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/steakmesser-classic-line-22cm-wmf_1874556030.jpg,,,,,Steakmesser Classic Line 22cm,Steakmesser Classic Line 22cm,Steakmesser Classic Line 22cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Steakmesser-Classic-Line-22cm,,,Product Info Column,,16.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/steakmesser-classic-line-22cm-wmf_1874556030.jpg,,,,,1,2,/wmf/kochen/steakmesser-classic-line-22cm-wmf_1874556030.jpg,,,Steakmesser Classic Line 22cm,Steakmesser Classic Line 22cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1874586030,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/zubereitungsmesser-classic-line-27cm-wmf_1874586030.jpg,,,,,Zubereitungsmesser Classic Line 27cm,Zubereitungsmesser Classic Line 27cm,Zubereitungsmesser Classic Line 27cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Zubereitungsmesser-Classic-Line-27cm,,,Product Info Column,,18.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/zubereitungsmesser-classic-line-27cm-wmf_1874586030.jpg,,,,,1,2,/wmf/kochen/zubereitungsmesser-classic-line-27cm-wmf_1874586030.jpg,,,Zubereitungsmesser Classic Line 27cm,Zubereitungsmesser Classic Line 27cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1874596030,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/zubereitungsmesser-classic-line-29cm-01_1880.jpg,,,,,Zubereitungsmesser Classic Line 29cm,Zubereitungsmesser Classic Line 29cm,Zubereitungsmesser Classic Line 29cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Zubereitungsmesser-Classic-Line-29cm,,,Product Info Column,,19.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/zubereitungsmesser-classic-line-29cm-01_1880.jpg,,,,,1,2,/wmf/kochen/zubereitungsmesser-classic-line-29cm-01_1880.jpg,,,Zubereitungsmesser Classic Line 29cm,Zubereitungsmesser Classic Line 29cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1874626030,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/fleischmesser-classic-line-34cm-breit-01_1888.jpg,,,,,Fleischmesser Classic Line 34cm Breit,Fleischmesser Classic Line 34cm Breit,Fleischmesser Classic Line 34cm Breit - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Fleischmesser-Classic-Line-34cm-Breit,,,Product Info Column,,27.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/fleischmesser-classic-line-34cm-breit-01_1888.jpg,,,,,1,2,/wmf/kochen/fleischmesser-classic-line-34cm-breit-01_1888.jpg,,,Fleischmesser Classic Line 34cm Breit,Fleischmesser Classic Line 34cm Breit.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1874656030,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/kochmesser-classic-line-29cm-01_1895.jpg,,,,,Kochmesser Classic Line 29cm,Kochmesser Classic Line 29cm,Kochmesser Classic Line 29cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kochmesser-Classic-Line-29cm,,,Product Info Column,,27.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/kochmesser-classic-line-29cm-01_1895.jpg,,,,,1,2,/wmf/kochen/kochmesser-classic-line-29cm-01_1895.jpg,,,Kochmesser Classic Line 29cm,Kochmesser Classic Line 29cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1874776030,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochen/schopfloffel-kunststoff-'-profi-plus'-wmf_1874776030--1.jpg,,,,,Schöpflöffel Kunststoff ' Profi Plus',Schöpflöffel Kunststoff ' Profi Plus',Schöpflöffel Kunststoff ' Profi Plus' - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schopfloffel-Kunststoff-'-Profi-Plus',,,Product Info Column,,19.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochen/schopfloffel-kunststoff-'-profi-plus'-wmf_1874776030--1.jpg,,,,,1,2,/wmf/kochen/schopfloffel-kunststoff-'-profi-plus'-wmf_1874776030--1.jpg,,,Schpflffel Kunststoff ' Profi Plus',Schpflffel Kunststoff ' Profi Plus'.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
