sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
WMF_0718806041,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochtopf/stielpfanne-mini-18cm-wmf_0718806041.jpg,,,,,Stielpfanne MINI 18cm,Stielpfanne MINI 18cm,Stielpfanne MINI 18cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Stielpfanne-MINI-18cm,,,Product Info Column,,24.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochtopf/stielpfanne-mini-18cm-wmf_0718806041.jpg,,,,,1,2,/wmf/kochtopf/stielpfanne-mini-18cm-wmf_0718806041.jpg,,,Stielpfanne MINI 18cm,Stielpfanne MINI 18cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0712786041,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochtopf/stielkasserolle-mini-12cm-wmf_0712786041.jpg,,,,,Stielkasserolle MINI 12cm,Stielkasserolle MINI 12cm,Stielkasserolle MINI 12cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Stielkasserolle-MINI-12cm,,,Product Info Column,,17.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochtopf/stielkasserolle-mini-12cm-wmf_0712786041.jpg,,,,,1,2,/wmf/kochtopf/stielkasserolle-mini-12cm-wmf_0712786041.jpg,,,Stielkasserolle MINI 12cm,Stielkasserolle MINI 12cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0712766040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochtopf/bratentopf-mini-12cm-m-deckel-wmf_0712766040.jpg,,,,,Bratentopf MINI 12cm m. Deckel,Bratentopf MINI 12cm m. Deckel,Bratentopf MINI 12cm m. Deckel - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Bratentopf-MINI-12cm-m-Deckel,,,Product Info Column,,19.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochtopf/bratentopf-mini-12cm-m-deckel-wmf_0712766040.jpg,,,,,1,2,/wmf/kochtopf/bratentopf-mini-12cm-m-deckel-wmf_0712766040.jpg,,,Bratentopf MINI 12cm m. Deckel,Bratentopf MINI 12cm m. Deckel.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0714766040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochtopf/bratentopf-mini-14cm-m-deckel-01_1997.jpg,,,,,Bratentopf MINI 14cm m.Deckel,Bratentopf MINI 14cm m.Deckel,Bratentopf MINI 14cm m.Deckel - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Bratentopf-MINI-14cm-m-Deckel,,,Product Info Column,,22.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochtopf/bratentopf-mini-14cm-m-deckel-01_1997.jpg,,,,,1,2,/wmf/kochtopf/bratentopf-mini-14cm-m-deckel-01_1997.jpg,,,Bratentopf MINI 14cm m.Deckel,Bratentopf MINI 14cm m.Deckel.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0712776040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochtopf/fleischtopf-mini-12cm-m-deckel-wmf_0712776040.jpg,,,,,Fleischtopf MINI 12cm m.Deckel,Fleischtopf MINI 12cm m.Deckel,Fleischtopf MINI 12cm m.Deckel - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Fleischtopf-MINI-12cm-m-Deckel,,,Product Info Column,,22.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochtopf/fleischtopf-mini-12cm-m-deckel-wmf_0712776040.jpg,,,,,1,2,/wmf/kochtopf/fleischtopf-mini-12cm-m-deckel-wmf_0712776040.jpg,,,Fleischtopf MINI 12cm m.Deckel,Fleischtopf MINI 12cm m.Deckel.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0714776040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochtopf/fleischtopf-mini-14cm-m-deckel-01_2093.jpg,,,,,Fleischtopf MINI 14cm m.Deckel,Fleischtopf MINI 14cm m.Deckel,Fleischtopf MINI 14cm m.Deckel - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Fleischtopf-MINI-14cm-m-Deckel,,,Product Info Column,,24.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochtopf/fleischtopf-mini-14cm-m-deckel-01_2093.jpg,,,,,1,2,/wmf/kochtopf/fleischtopf-mini-14cm-m-deckel-01_2093.jpg,,,Fleischtopf MINI 14cm m.Deckel,Fleischtopf MINI 14cm m.Deckel.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0716786040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochtopf/stielkasserolle-mini-16cm-m-deckel-01_2034.jpg,,,,,Stielkasserolle MINI 16cm m. Deckel,Stielkasserolle MINI 16cm m. Deckel,Stielkasserolle MINI 16cm m. Deckel - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Stielkasserolle-MINI-16cm-m-Deckel,,,Product Info Column,,24.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochtopf/stielkasserolle-mini-16cm-m-deckel-01_2034.jpg,,,,,1,2,/wmf/kochtopf/stielkasserolle-mini-16cm-m-deckel-01_2034.jpg,,,Stielkasserolle MINI 16cm m. Deckel,Stielkasserolle MINI 16cm m. Deckel.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0716766040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochtopf/bratentopf-mini-16cm-m-deckel-wmf_0716766040.jpg,,,,,Bratentopf MINI 16cm m. Deckel,Bratentopf MINI 16cm m. Deckel,Bratentopf MINI 16cm m. Deckel - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Bratentopf-MINI-16cm-m-Deckel,,,Product Info Column,,24.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochtopf/bratentopf-mini-16cm-m-deckel-wmf_0716766040.jpg,,,,,1,2,/wmf/kochtopf/bratentopf-mini-16cm-m-deckel-wmf_0716766040.jpg,,,Bratentopf MINI 16cm m. Deckel,Bratentopf MINI 16cm m. Deckel.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0716836040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochtopf/gemusedampfer-mini-16cm-m-deckel-u--wmf_0716836040-1-1.jpg,,,,,Gemüsedämpfer MINI 16cm m. Deckel u.,Gemüsedämpfer MINI 16cm m. Deckel u.,Gemüsedämpfer MINI 16cm m. Deckel u. - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Gemusedampfer-MINI-16cm-m-Deckel-u-,,,Product Info Column,,39.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochtopf/gemusedampfer-mini-16cm-m-deckel-u--wmf_0716836040-1-1.jpg,,,,,1,2,/wmf/kochtopf/gemusedampfer-mini-16cm-m-deckel-u--wmf_0716836040-1-1.jpg,,,Gemsedmpfer MINI 16cm m. Deckel u.,Gemsedmpfer MINI 16cm m. Deckel u..html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0736156040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochtopf/milchtopf-diadem-plus-14cm-wmf_0736156040.jpg,,,,,Milchtopf Diadem Plus 14cm,Milchtopf Diadem Plus 14cm,Milchtopf Diadem Plus 14cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Milchtopf-Diadem-Plus-14cm,,,Product Info Column,,54.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochtopf/milchtopf-diadem-plus-14cm-wmf_0736156040.jpg,,,,,1,2,/wmf/kochtopf/milchtopf-diadem-plus-14cm-wmf_0736156040.jpg,,,Milchtopf Diadem Plus 14cm,Milchtopf Diadem Plus 14cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0718826040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,/wmf/kochtopf/nudeltopf-mini-18cm-m-deckel-u--wmf_0718826040--1.jpg,,,,,Nudeltopf MINI 18cm m. Deckel u.,Nudeltopf MINI 18cm m. Deckel u.,Nudeltopf MINI 18cm m. Deckel u. - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Nudeltopf-MINI-18cm-m-Deckel-u-,,,Product Info Column,,59.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kochtopf/nudeltopf-mini-18cm-m-deckel-u--wmf_0718826040--1.jpg,,,,,1,2,/wmf/kochtopf/nudeltopf-mini-18cm-m-deckel-u--wmf_0718826040--1.jpg,,,Nudeltopf MINI 18cm m. Deckel u.,Nudeltopf MINI 18cm m. Deckel u..html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
