sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
de-wmf_0793146040,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Schnellkochtopf 8,5 l Perfect Plus</h1>Ihre technischen Vorteile machen Schnellkochtöpfe völlig unkompliziert: Eine Restdrucksicherung mit farbiger Anzeige sowie der Flammschutz für alle Topfgriffe zeichnen den Schnellkochtopf mit TransTherm®-Allherdboden aus. Zur Reinigung den Griff einfach abnehmen und unter fließendem Wasser abspülen. Jedem Schnellkochtopf ist eine ausführliche Bedienungsanleitung mit separater Garzeitentabelle beigelegt.<br>In 3 Liter Schnellkochtöpfen lassen sich schnell und einfach Beilagen wie Reis oder Kartoffeln zaubern. Auch Gemüse lässt sich vitaminschonend durch die kurze Garzeit zubereiten. Der 8,5 Liter Schnellkochtopf ist für kleinere Haushalte gedacht, die in kleinen Mengen kochen.<br>Der WMF Perfect Plus verbindet bewährte Technik mit modernem Design. Die Bedienung erfordert nur wenige Handgriffe. Die Ringe auf dem übersichtlichen Kochsignal zeigen zwei Garstufen und die Restdrucksicherung. Die gesamte Technik sitzt im Griff, der zur Reinigung einfach abgenommen wird. Alle WMF Schnelltöpfe haben Innenskalierung und sind induktionsgeeignet.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>induktionsgeeignet<br>TransTherm®-Allherdboden<br>mit Restdrucksicherung<br>mit Flammschutz<h3>Maße </h3>Volumen in l: 8.50<br>Durchmesser in cm: 22<br>Höhe in cm: 23.00    </div>",No,,,0,/wmf/sekt/schnelltopf-set-perfect-plus-8-5lm-einsatz-01_2084.jpg,,,,,"Schnelltopf Set PERFECT PLUS 8,5Lm.Einsatz","Schnelltopf Set PERFECT PLUS 8,5Lm.Einsatz","Schnelltopf Set PERFECT PLUS 8,5Lm.Einsatz - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Schnelltopf-Set-PERFECT-PLUS-8-5Lm-Einsatz,,,Product Info Column,,"219,00",0,,,,/wmf/sekt/schnelltopf-set-perfect-plus-8-5lm-einsatz-01_2084.jpg,,,,,1,2,/wmf/sekt/schnelltopf-set-perfect-plus-8-5lm-einsatz-01_2084.jpg,,,"Schnelltopf Set PERFECT PLUS 8,5Lm.Einsatz","Schnelltopf Set PERFECT PLUS 8,5Lm.Einsatz.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0796279990,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wmf/sekt/schnelltopf-set-perfect-pro-wmf_0796279990.jpg,,,,,Schnelltopf Set PERFECT PRO,Schnelltopf Set PERFECT PRO,Schnelltopf Set PERFECT PRO - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schnelltopf-Set-PERFECT-PRO,,,Product Info Column,,"199,00",0,,,,/wmf/sekt/schnelltopf-set-perfect-pro-wmf_0796279990.jpg,,,,,1,2,/wmf/sekt/schnelltopf-set-perfect-pro-wmf_0796279990.jpg,,,Schnelltopf Set PERFECT PRO,Schnelltopf Set PERFECT PRO.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0796129990,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Schnellkochtopf 4,5 l Perfect Ultra</h1>Der 4,5 Liter Schnellkochtopf ist der Allrounder in der Küche. In ihm lassen sich schnell Beilagen zubereiten, aber auch Eintöpfe und Suppen können in einem 4,5 Liter Schnellkochtopf in größeren Mengen zubereitet werden.<br>Zukunftsweisendes Design und noch mehr Bedienkomfort zeichnen den WMF Perfect Ultra aus. Alle Funktionen befinden sich im abnehmbaren Deckelgriff. Am All-In-One Drehknopf werden alle Einstellungen vorgenommen: Öffnen und Verriegeln, die Voreinstellung der Kochstufe, Abdampfen. Die schonende Abdampfautomatik gewährleistet absolute Sicherheit beim Öffnen. Ein integrierter Timer sorgt optisch und akustisch dafür, dass die Speisen auf den Punkt garen. Alle WMF Schnelltöpfe haben Innenskalierung und sind induktionsgeeignet.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>TransTherm®-Allherdboden<br>induktionsgeeignet<br><h3>Maße </h3>Durchmesser in cm: 22<br>Höhe in cm: 13.50<br>Volumen in l: 4.50<br><h3>Eigenschaften </h3>mit integriertem Timer und All-In-One Drehknopf    </div>",No,,,0,/wmf/sekt/schnelltopf-perfect-ultra-4-5l-22cm-01_2102.jpg,,,,,"Schnelltopf Perfect Ultra 4,5L 22cm","Schnelltopf Perfect Ultra 4,5L 22cm","Schnelltopf Perfect Ultra 4,5L 22cm - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Schnelltopf-Perfect-Ultra-4-5L-22cm,,,Product Info Column,,"219,00",0,,,,/wmf/sekt/schnelltopf-perfect-ultra-4-5l-22cm-01_2102.jpg,,,,,1,2,/wmf/sekt/schnelltopf-perfect-ultra-4-5l-22cm-01_2102.jpg,,,"Schnelltopf Perfect Ultra 4,5L 22cm","Schnelltopf Perfect Ultra 4,5L 22cm.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0793939990,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Schnellkochtopf-Set 2-teilig Perfect Plus</h1>Ihre technischen Vorteile machen Schnellkochtöpfe völlig unkompliziert: Eine Restdrucksicherung mit farbiger Anzeige sowie der Flammschutz für alle Topfgriffe zeichnen den Schnellkochtopf mit TransTherm®-Allherdboden aus. Zur Reinigung den Griff einfach abnehmen und unter fließendem Wasser abspülen. Jedem Schnellkochtopf ist eine ausführliche Bedienungsanleitung mit separater Garzeitentabelle beigelegt.<br>Schnellkochtopf-Sets bestehen aus einem großen Schnellkochtopf, einem etwas kleineren Schnellkochtopf und den dazu passenden Deckel, der sich auf beide Schnellkochtöpfe montieren lässt. Das ist nicht nur platz- sondern auch geldsparend.<br>Der WMF Perfect Plus verbindet bewährte Technik mit modernem Design. Die Bedienung erfordert nur wenige Handgriffe. Die Ringe auf dem übersichtlichen Kochsignal zeigen zwei Garstufen und die Restdrucksicherung. Die gesamte Technik sitzt im Griff, der zur Reinigung einfach abgenommen wird. Alle WMF Schnelltöpfe haben Innenskalierung und sind induktionsgeeignet.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>induktionsgeeignet<br>TransTherm®-Allherdboden<br><h3>Maße </h3>Durchmesser in cm: 22<br>Volumen in l: 4.50    </div>",No,,,0,/wmf/sekt/schnelltopf-set-perfect-plus-2tlg-stapel-wmf_0793939990.jpg,,,,,Schnelltopf Set PERFECT PLUS 2tlg STAPEL,Schnelltopf Set PERFECT PLUS 2tlg STAPEL,Schnelltopf Set PERFECT PLUS 2tlg STAPEL - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schnelltopf-Set-PERFECT-PLUS-2tlg-STAPEL,,,Product Info Column,,"209,00",0,,,,/wmf/sekt/schnelltopf-set-perfect-plus-2tlg-stapel-wmf_0793939990.jpg,,,,,1,2,/wmf/sekt/schnelltopf-set-perfect-plus-2tlg-stapel-wmf_0793939990.jpg,,,Schnelltopf Set PERFECT PLUS 2tlg STAPEL,Schnelltopf Set PERFECT PLUS 2tlg STAPEL.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0793129990,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Schnellkochtopf 4,5 l Perfect Plus</h1>Ihre technischen Vorteile machen Schnellkochtöpfe völlig unkompliziert: Eine Restdrucksicherung mit farbiger Anzeige sowie der Flammschutz für alle Topfgriffe zeichnen den Schnellkochtopf mit TransTherm®-Allherdboden aus. Zur Reinigung den Griff einfach abnehmen und unter fließendem Wasser abspülen. Jedem Schnellkochtopf ist eine ausführliche Bedienungsanleitung mit separater Garzeitentabelle beigelegt.<br>In 3 Liter Schnellkochtöpfen lassen sich schnell und einfach Beilagen wie Reis oder Kartoffeln zaubern. Auch Gemüse lässt sich vitaminschonend durch die kurze Garzeit zubereiten. Der 4,5 Liter Schnellkochtopf ist für kleinere Haushalte gedacht, die in kleinen Mengen kochen.<br>Der WMF Perfect Plus verbindet bewährte Technik mit modernem Design. Die Bedienung erfordert nur wenige Handgriffe. Die Ringe auf dem übersichtlichen Kochsignal zeigen zwei Garstufen und die Restdrucksicherung. Die gesamte Technik sitzt im Griff, der zur Reinigung einfach abgenommen wird. Alle WMF Schnelltöpfe haben Innenskalierung und sind induktionsgeeignet.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>induktionsgeeignet<br>TransTherm®-Allherdboden<br>mit Restdrucksicherung<br>mit Flammschutz<h3>Maße </h3>Volumen in l: 4.50<br>Durchmesser in cm: 22<br>Höhe in cm: 13.50    </div>",No,,,0,/wmf/sekt/schnelltopf-perfect-plus-4-5l-22cm-wmf_0793129990.jpg,,,,,"Schnelltopf PERFECT PLUS 4,5L 22cm","Schnelltopf PERFECT PLUS 4,5L 22cm","Schnelltopf PERFECT PLUS 4,5L 22cm - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Schnelltopf-PERFECT-PLUS-4-5L-22cm,,,Product Info Column,,"169,00",0,,,,/wmf/sekt/schnelltopf-perfect-plus-4-5l-22cm-wmf_0793129990.jpg,,,,,1,2,/wmf/sekt/schnelltopf-perfect-plus-4-5l-22cm-wmf_0793129990.jpg,,,"Schnelltopf PERFECT PLUS 4,5L 22cm","Schnelltopf PERFECT PLUS 4,5L 22cm.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0793099990,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Schnellkochtopf 2,5 l Perfect Plus</h1>Ihre technischen Vorteile machen Schnellkochtöpfe völlig unkompliziert: Eine Restdrucksicherung mit farbiger Anzeige sowie der Flammschutz für alle Topfgriffe zeichnen den Schnelltopf mit TransTherm®-Allherdboden aus. Zur Reinigung den Griff einfach abnehmen und unter fließendem Wasser abspülen. Allen Schnellkochtöpfen ist eine ausführliche Bedienungsanleitung mit separater Garzeitentabelle beigelegt.<br>Der WMF Perfect Plus verbindet bewährte Technik mit modernem Design. Die Bedienung erfordert nur wenige Handgriffe. Die Ringe auf dem übersichtlichen Kochsignal zeigen zwei Garstufen und die Restdrucksicherung. Die gesamte Technik sitzt im Griff, der zur Reinigung einfach abgenommen wird. Alle WMF Schnelltöpfe haben Innenskalierung und sind induktionsgeeignet.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>ProduktEigenschaften</h3> induktionsgeeignet<br>TransTherm®-Allherdboden<br>mit Restdrucksicherung<br>mit Flammschutz<br><h3>Maße </h3>Volumen in l: 2.50<br>Durchmesser in cm: 18<br>Höhe in cm: 11.50    </div>",No,,,0,/wmf/sekt/schnelltopf-perfect-plus-2-5l-18cm-01_2050.jpg,,,,,"Schnelltopf Perfect Plus 2,5L 18cm","Schnelltopf Perfect Plus 2,5L 18cm","Schnelltopf Perfect Plus 2,5L 18cm - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Schnelltopf-Perfect-Plus-2-5L-18cm,,,Product Info Column,,"149,00",0,,,,/wmf/sekt/schnelltopf-perfect-plus-2-5l-18cm-01_2050.jpg,,,,,1,2,/wmf/sekt/schnelltopf-perfect-plus-2-5l-18cm-01_2050.jpg,,,"Schnelltopf Perfect Plus 2,5L 18cm","Schnelltopf Perfect Plus 2,5L 18cm.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0792796100,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Schnellkochtopf - Einsatzsteg Ø 18 cm</h1>Dieser Einsatz ist passend für alle WMF Schnelltöpfe® mit Durchmesser 18 cm.<br>Der Schnellkochtopf mit dem Kniff im Griff. Manchmal kann aus erlesenen Zutaten nur dann ein Meisterwerk entstehen, wenn man sich viel Zeit lässt. Aber manchmal kann es beim Kochen auch nicht schnell genug gehen. Mit dem WMF Schnellkochtopf sparen Sie in diesem Fall nicht nur Zeit, sondern auch eine ganze Menge Energie. Und das schont Vitamine und Nerven. Induktionsgeeignet.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Maße </h3>Durchmesser in cm: 18    </div>",No,,,0,/wmf/sekt/einsatzsteg-18cm-01_2001.jpg,,,,,Einsatzsteg 18cm,Einsatzsteg 18cm,Einsatzsteg 18cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Einsatzsteg-18cm,,,Product Info Column,,"4,95",0,,,,/wmf/sekt/einsatzsteg-18cm-01_2001.jpg,,,,,1,2,/wmf/sekt/einsatzsteg-18cm-01_2001.jpg,,,Einsatzsteg 18cm,Einsatzsteg 18cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0792776000,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Schnellkochtopf - Einsatz Ø 18 cm ungelocht</h1>Dieser Einsatz ist passend für alle WMF Schnelltöpfe® mit Durchmesser 18 cm.<br>Der Schnellkochtopf mit dem Kniff im Griff. Manchmal kann aus erlesenen Zutaten nur dann ein Meisterwerk entstehen, wenn man sich viel Zeit lässt. Aber manchmal kann es beim Kochen auch nicht schnell genug gehen. Mit dem WMF Schnellkochtopf sparen Sie in diesem Fall nicht nur Zeit, sondern auch eine ganze Menge Energie. Und das schont Vitamine und Nerven. Induktionsgeeignet.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Maße </h3>Durchmesser in cm: 18    </div>",No,,,0,/wmf/sekt/einsatz-ungelocht-18cm-01_2062.jpg,,,,,Einsatz ungelocht 18cm,Einsatz ungelocht 18cm,Einsatz ungelocht 18cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Einsatz-ungelocht-18cm,,,Product Info Column,,"13,95",0,,,,/wmf/sekt/einsatz-ungelocht-18cm-01_2062.jpg,,,,,1,2,/wmf/sekt/einsatz-ungelocht-18cm-01_2062.jpg,,,Einsatz ungelocht 18cm,Einsatz ungelocht 18cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0792659990,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Schnellkochtopf-Set 2-teilig Perfect</h1>Schnellkochtopf-Sets bestehen aus einem großen Schnellkochtopf, einem etwas kleineren Schnellkochtopf und den dazu passenden Deckel, der sich auf beide Schnellkochtöpfe montieren lässt. Das ist nicht nur platz- sondern auch geldsparend.<br>Der WMF Perfect hat sich seit vielen Jahren bewährt. Das Design ist zeitlos klassisch, die technische Ausstattung wurde aktualisiert. Das übersichtliche Kochsignal zeigt zwei Ringe für die Garstufen und einen für die Restdrucksicherung. Die gesamte Technik sitzt kompakt verpackt im Griff, der zum Reinigen einfach abgenommen wird. Alle WMF Schnelltöpfe haben Innenskalierung und sind induktionsgeeignet..<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>induktionsgeeignet<br>mit Restdrucksicherung<br>TransTherm®-Allherdboden<br><h3>Maße </h3>Durchmesser in cm: 22<br>Volumen in l: 4.50    </div>",No,,,0,/wmf/sekt/schnelltopf-set-perfect-rds-2tlg-22cm-wmf_0792659990.jpg,,,,,Schnelltopf Set Perfect RDS 2tlg. 22cm,Schnelltopf Set Perfect RDS 2tlg. 22cm,Schnelltopf Set Perfect RDS 2tlg. 22cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schnelltopf-Set-Perfect-RDS-2tlg-22cm,,,Product Info Column,,"199,00",0,,,,/wmf/sekt/schnelltopf-set-perfect-rds-2tlg-22cm-wmf_0792659990.jpg,,,,,1,2,/wmf/sekt/schnelltopf-set-perfect-rds-2tlg-22cm-wmf_0792659990.jpg,,,Schnelltopf Set Perfect RDS 2tlg. 22cm,Schnelltopf Set Perfect RDS 2tlg. 22cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0792629990,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Schnellkochtopf 4,5 l Perfect</h1>Der 4,5 Liter Schnellkochtopf ist der Allrounder in der Küche. In ihm lassen sich schnell Beilagen zubereiten, aber auch Eintöpfe und Suppen können in einem 4,5 Liter Schnellkochtopf in größeren Mengen zubereitet werden.<br>Der WMF Perfect hat sich seit vielen Jahren bewährt. Das Design ist zeitlos klassisch, die technische Ausstattung wurde aktualisiert. Das übersichtliche Kochsignal zeigt zwei Ringe für die Garstufen und einen für die Restdrucksicherung. Die gesamte Technik sitzt kompakt verpackt im Griff, der zum Reinigen einfach abgenommen wird. Alle WMF Schnelltöpfe haben Innenskalierung und sind induktionsgeeignet..<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>induktionsgeeignet<br>mit Restdrucksicherung<br>TransTherm®-Allherdboden<br><h3>Maße </h3>Volumen in l: 4.50<br>Durchmesser in cm: 22<br>Höhe in cm:13.50    </div>",No,,,0,/wmf/sekt/schnellkochtopf-perfect-rds-4-5l-22cm-m-dich-01_2064.jpg,,,,,"Schnellkochtopf Perfect RDS 4,5L 22cm M.DICH","Schnellkochtopf Perfect RDS 4,5L 22cm M.DICH","Schnellkochtopf Perfect RDS 4,5L 22cm M.DICH - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Schnellkochtopf-Perfect-RDS-4-5L-22cm-M-DICH,,,Product Info Column,,"149,00",0,,,,/wmf/sekt/schnellkochtopf-perfect-rds-4-5l-22cm-m-dich-01_2064.jpg,,,,,1,2,/wmf/sekt/schnellkochtopf-perfect-rds-4-5l-22cm-m-dich-01_2064.jpg,,,"Schnellkochtopf Perfect RDS 4,5L 22cm M.DICH","Schnellkochtopf Perfect RDS 4,5L 22cm M.DICH.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0792619990,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Schnellkochtopf 3,0 l Perfect</h1>In 3 Liter Schnellkochtöpfen lassen sich schnell und einfach Beilagen wie Reis oder Kartoffeln zaubern. Auch Gemüse lässt sich vitaminschonend durch die kurze Garzeit zubereiten. Der 3 Liter Schnellkochtopf ist für kleinere Haushalte gedacht, die in kleinen Mengen kochen.<br>Der WMF Perfect hat sich seit vielen Jahren bewährt. Das Design ist zeitlos klassisch, die technische Ausstattung wurde aktualisiert. Das übersichtliche Kochsignal zeigt zwei Ringe für die Garstufen und einen für die Restdrucksicherung. Die gesamte Technik sitzt kompakt verpackt im Griff, der zum Reinigen einfach abgenommen wird. Alle WMF Schnelltöpfe haben Innenskalierung und sind induktionsgeeignet..<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>ProduktEigenschaften</h3> induktionsgeeignet<br>mit Restdrucksicherung<br>TransTherm®-Allherdboden<br><h3>Maße </h3>Volumen in l: 3.00<br>Durchmesser in cm: 22<br>Höhe in cm: 9.00    </div>",No,,,0,/wmf/sekt/schnellkochtopf-perfect-rds-3-0l-22cm-m-dich-01_2010.jpg,,,,,"Schnellkochtopf Perfect RDS 3,0L 22cm M.Dich","Schnellkochtopf Perfect RDS 3,0L 22cm M.Dich","Schnellkochtopf Perfect RDS 3,0L 22cm M.Dich - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Schnellkochtopf-Perfect-RDS-3-0L-22cm-M-Dich,,,Product Info Column,,"134,00",0,,,,/wmf/sekt/schnellkochtopf-perfect-rds-3-0l-22cm-m-dich-01_2010.jpg,,,,,1,2,/wmf/sekt/schnellkochtopf-perfect-rds-3-0l-22cm-m-dich-01_2010.jpg,,,"Schnellkochtopf Perfect RDS 3,0L 22cm M.Dich","Schnellkochtopf Perfect RDS 3,0L 22cm M.Dich.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0792599990,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Schnellkochtopf 2,5 l Perfect</h1>Der WMF Perfect hat sich seit vielen Jahren bewährt. Das Design ist zeitlos klassisch, die technische Ausstattung wurde aktualisiert. Das übersichtliche Kochsignal zeigt zwei Ringe für die Garstufen und einen für die Restdrucksicherung. Die gesamte Technik sitzt kompakt verpackt im Griff, der zum Reinigen einfach abgenommen wird. Alle WMF Schnelltöpfe haben Innenskalierung und sind induktionsgeeignet..<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>induktionsgeeignet<br>mit Restdrucksicherung<br>TransTherm®-Allherdboden<br><h3>Maße </h3>Durchmesser in cm: 18<br>Höhe in cm: 11.50<br>Volumen in l: 2.50    </div>",No,,,0,/wmf/sekt/schnellkochtopf-2-5-l-perfect-ohne-einsatz-wmf_0792599990.jpg,,,,,"Schnellkochtopf 2,5 l Perfect ohne Einsatz","Schnellkochtopf 2,5 l Perfect ohne Einsatz","Schnellkochtopf 2,5 l Perfect ohne Einsatz - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Schnellkochtopf-2-5-l-Perfect-ohne-Einsatz,,,Product Info Column,,"134,00",0,,,,/wmf/sekt/schnellkochtopf-2-5-l-perfect-ohne-einsatz-wmf_0792599990.jpg,,,,,1,2,/wmf/sekt/schnellkochtopf-2-5-l-perfect-ohne-einsatz-wmf_0792599990.jpg,,,"Schnellkochtopf 2,5 l Perfect ohne Einsatz","Schnellkochtopf 2,5 l Perfect ohne Einsatz.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0796139990,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Schnellkochtopf 6,5 l Perfect Ultra</h1>Der 6,5 Liter Schnellkochtopf ist der Allrounder in der Küche. In ihm lassen sich schnell Beilagen zubereiten, aber auch Eintöpfe und Suppen können in einem 4,5 Liter Schnellkochtopf in größeren Mengen zubereitet werden.<br>Zukunftsweisendes Design und noch mehr Bedienkomfort zeichnen den WMF Perfect Ultra aus. Alle Funktionen befinden sich im abnehmbaren Deckelgriff. Am All-In-One Drehknopf werden alle Einstellungen vorgenommen: Öffnen und Verriegeln, die Voreinstellung der Kochstufe, Abdampfen. Die schonende Abdampfautomatik gewährleistet absolute Sicherheit beim Öffnen. Ein integrierter Timer sorgt optisch und akustisch dafür, dass die Speisen auf den Punkt garen. Alle WMF Schnelltöpfe haben Innenskalierung und sind induktionsgeeignet.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>TransTherm®-Allherdboden<br>induktionsgeeignet<br><h3>Maße </h3>Durchmesser in cm: 22<br>Höhe in cm: 18.50<br>Volumen in l: 6.50<br><h3>Eigenschaften </h3>mit integriertem Timer und All-In-One Drehknopf    </div>",No,,,0,/wmf/sekt/schnelltopf-perfect-ultra-6-5l-wmf_0796139990.jpg,,,,,"Schnelltopf Perfect Ultra 6,5L","Schnelltopf Perfect Ultra 6,5L","Schnelltopf Perfect Ultra 6,5L - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Schnelltopf-Perfect-Ultra-6-5L,,,Product Info Column,,"239,00",0,,,,/wmf/sekt/schnelltopf-perfect-ultra-6-5l-wmf_0796139990.jpg,,,,,1,2,/wmf/sekt/schnelltopf-perfect-ultra-6-5l-wmf_0796139990.jpg,,,"Schnelltopf Perfect Ultra 6,5L","Schnelltopf Perfect Ultra 6,5L.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
