sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
de-wmf_0644416030,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Vierkantreibe</h1><h3>Produktbeschreibungen</h3>Features: -Material: Cromargan Edelstahl Rostfrei 18/10. -Sicheres Halten durch handlichen Griff. -4-in-1 Reibe- je eine Reibefläche für Gurken, Käse, Rohkost und Kartoffeln. -Ermöglicht Scheiben, Stifte und Raspeln in zwei Stärken. Produktart: -Küchenreibe. Material: -Edelstahl. Generic Specifications: -Maße: 24cm W x 9cm T. Dimensions: Gesamtbreite - von links nach rechts: -24.    </div>",No,,,0,/wmf/wohnen/vierkantreibe-01_2000.jpg,,,,,Vierkantreibe,Vierkantreibe,Vierkantreibe - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Vierkantreibe,,,Product Info Column,,"29,95",0,,,,/wmf/wohnen/vierkantreibe-01_2000.jpg,,,,,1,2,/wmf/wohnen/vierkantreibe-01_2000.jpg,,,Vierkantreibe,Vierkantreibe.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0617856030,base,Kitchen,simple,[Default Category]/Küchenwaren/Bar & Wein,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wmf/wohnen/eiseimer-loft-bar-wmf_0617856030--2.jpg,,,,,Eiseimer loft Bar,Eiseimer loft Bar,Eiseimer loft Bar - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Eiseimer-loft-Bar,,,Product Info Column,,"69,95",0,,,,/wmf/wohnen/eiseimer-loft-bar-wmf_0617856030--2.jpg,,,,,1,2,/wmf/wohnen/eiseimer-loft-bar-wmf_0617856030--2.jpg,,,Eiseimer loft Bar,Eiseimer loft Bar.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0617716040,base,Kitchen,simple,[Default Category]/Küchenwaren/Backen,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Wasserkaraffe 0,75 l Basic</h1>Die Wasserkaraffe Basic mit den Close up- Verschluss. Durch die große Öffnung ist ein leichtes Befüllen möglich. Zusätzlich gibt es nun auch einen Deckelverschluss, der den Inhalt frisch und appetitlich hält. Zur einfachen Reinigung sind Reinigungsperlen zusätzlich erhältlich.<br>Basics für Ihren Haushalt. Die Kollektion Basic enthält schöne, funktionale und trendige Artikel, für stilvolles Trinken und Servieren, rund um den gedeckten Tisch.<br><h3>Material </h3>WMF Glas<br>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br>Silikon<br>Kunststoff<br><h3>Produkteigenschaften </h3>Nicht für die Spülmaschine geeignet<br>Close Up - der Verschluss mit dem Plus<br><h3>Maße </h3>Höhe in cm: 23.70<br>Durchmesser in cm: 10<br>Volumen in l: 0.75    </div>",No,,,0,/wmf/wohnen/wasserkaraffe-basic-0-75l-wmf_0617716040.jpg,,,,,"Wasserkaraffe BASIC 0,75L","Wasserkaraffe BASIC 0,75L","Wasserkaraffe BASIC 0,75L - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Wasserkaraffe-BASIC-0-75L,,,Product Info Column,,"34,95",0,,,,/wmf/wohnen/wasserkaraffe-basic-0-75l-wmf_0617716040.jpg,,,,,1,2,/wmf/wohnen/wasserkaraffe-basic-0-75l-wmf_0617716040.jpg,,,"Wasserkaraffe BASIC 0,75L","Wasserkaraffe BASIC 0,75L.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0654866020,base,Kitchen,simple,[Default Category]/Küchenwaren/Backen,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Frischhalte- und Serviersystem Ø 15 cm Top Serve, mit Abtropfgitter</h1>Das vielseitige Frischhalte- und Serviersystem „Top Serve“ von WMF ist aus der modernen Haushaltsführung nicht mehr wegzudenken. Die Kollektion wird nun mit einem integrierten Abtropfgitter erweitert – für noch mehr Frische und noch mehr Genuss.<br>So bleiben Lebensmittel länger appetitlich frisch, denn der Inhalt in den Top Serve Schalen ist luftdicht verschlossen. In den Glasschalen können Sie Käse, Salate, Vorspeisen oder Desserts anrichten und servieren. Nach dem Essen werden Sie verschlossen und im Kühlschrank aufbewahrt. Dose und Deckel aus Cromargan® sind hygienisch, nehmen keinen Geschmack an und können in der Spülmaschine gereinigt werden. Es gibt verschieden haushaltsgerechte Größen in rund und eckig, so finden Sie immer die richtige Schalen zum Aufbewahren und Servieren zugleich.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>Glas<br>Ventil und Dichtung: Silikon<br>poliert<br><h3>Maße </h3>Durchmesser in cm: 15<br>Volumen in l :0.70<br><h3>Eigenschaften </h3>Das Gitter verhindert den Kontakt der Lebensmittel mit Kondensflüssigkeit am Glasboden und hält Lebensmittel dadurch länger appetitlich frisch.    </div>",No,,,0,/wmf/wohnen/schale-top-serve-15cm-m-einlage-wmf_0654866020.jpg,,,,,Schale TOP SERVE 15cm M.Einlage,Schale TOP SERVE 15cm M.Einlage,Schale TOP SERVE 15cm M.Einlage - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schale-TOP-SERVE-15cm-M-Einlage,,,Product Info Column,,"34,95",0,,,,/wmf/wohnen/schale-top-serve-15cm-m-einlage-wmf_0654866020.jpg,,,,,1,2,/wmf/wohnen/schale-top-serve-15cm-m-einlage-wmf_0654866020.jpg,,,Schale TOP SERVE 15cm M.Einlage,Schale TOP SERVE 15cm M.Einlage.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0654686040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Pfeffermühle</h1>WMF verfügt über eine große Auswahl an Salz- und Pfeffermühlen in verschiedene Materialausführungen und Größen. Ob in Buchenholz, Acrylglas oder Ganzmetall, für jeden Geschmack ist etwas dabei.<br>Gewürze schmecken besonders intensiv, wenn sie frisch gemahlen werden. Verantwortlich dafür sind die ätherischen Öle, die beim Mahlen freigesetzt werden. WMF Gewürzmühlen CERAMILL® vereinen Funktionalität und Ästhetik. WMF Mühlen sind mit dem original Keramikmahlwerk Ceramill ausgestattet. Keramik ist härter als Stahl, abrieb- und korrosionsfrei. Die Mahlstärke lässt sich bei den Mühlen stufenlos einstellen von ganz fein bis grob. Das Einstellrad im inneren ermöglicht die stufenlose Einstellung der Mahlstärke. Der Aromadeckel sitzt fest auf der Gewürzmühle, schützt somit das Mahlwerk und bewahrt das Gewürzaroma. Durch ihr anspruchsvolles Design machen die Mühlen auch auf dem gedeckten Tisch einen guten Eindruck.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>Acrylglas<br><h3>Produkteigenschaften </h3>mit dem original Keramikmahlwerk<br><h3>Maße </h3>Höhe in cm: 16.00<br><h3>Eigenschaften </h3>Sauberer Tisch durch obenliegendes Mahlwerk    </div>",No,,,0,/wmf/wohnen/pfeffermuhle-h-16cm-cromargan-acrylglas-wmf_0654686040.jpg,,,,,Pfeffermühle H 16cm Cromargan/Acrylglas,Pfeffermühle H 16cm Cromargan/Acrylglas,Pfeffermühle H 16cm Cromargan/Acrylglas - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Pfeffermuhle-H-16cm-Cromargan-Acrylglas,,,Product Info Column,,"44,95",0,,,,/wmf/wohnen/pfeffermuhle-h-16cm-cromargan-acrylglas-wmf_0654686040.jpg,,,,,1,2,/wmf/wohnen/pfeffermuhle-h-16cm-cromargan-acrylglas-wmf_0654686040.jpg,,,Pfeffermhle H 16cm Cromargan/Acrylglas,Pfeffermhle H 16cm Cromargan/Acrylglas.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0608696030,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wmf/wohnen/raumthermometer-hygrometer-wmf_0608696030.jpg,,,,,Raumthermometer / Hygrometer,Raumthermometer / Hygrometer,Raumthermometer / Hygrometer - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Raumthermometer-Hygrometer,,,Product Info Column,,"29,95",0,,,,/wmf/wohnen/raumthermometer-hygrometer-wmf_0608696030.jpg,,,,,1,2,/wmf/wohnen/raumthermometer-hygrometer-wmf_0608696030.jpg,,,Raumthermometer / Hygrometer,Raumthermometer / Hygrometer.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0641056040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Dekantierausgießer Vino</h1>Wein genießen ist ein Ritual, das mit dem Öffnen der Flasche beginnt. Die Serie Vino bietet professionelle Accessoires, die durch Design und Funktionalität überzeugen.<br><h3>Material<h3> Cromargan® Edelstahl Rostfrei 18/10<br>Kunststoff TPE<br>poliert<br><h3>Maße </h3>Länge in cm: 8<br><h3>Eigenschaften </h3>Dekantieren einfach gemacht<br>Von der Flasche direkt ins Glas<br>Durch die Verengung und die Belüftungsschlitze wird der Wein bereits beim Ausgießen verwirbelt und so mit Sauerstoff angereichert<br>Die Aromen kommen voll zur Entfaltung<br>Passt auf alle handelsüblichen Flaschen    </h3></h3></div>",No,,,0,/wmf/wohnen/dekantierausgiesser-wmf_0641056040--1.jpg,,,,,Dekantierausgießer,Dekantierausgießer,Dekantierausgießer - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Dekantierausgiesser,,,Product Info Column,,"19,95",0,,,,/wmf/wohnen/dekantierausgiesser-wmf_0641056040--1.jpg,,,,,1,2,/wmf/wohnen/dekantierausgiesser-wmf_0641056040--1.jpg,,,Dekantierausgieer,Dekantierausgieer.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0636346040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Teedose M TeaTime</h1>Wahre Teeliebhaber schwören auf losen Tee. Das Aufgießen der Blätter, dessen Aroma sich frei entfaltet, ist eine Art Zeremonie. Mit der neuen Kollektion „TeaTime“ von WMF lässt sich die Teezeit stilvoll auch zu Hause zelebrieren. Das moderne Design und das hochwertige Material der Kollektion machen den Genuss perfekt.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br>Silikon<br>Kunststoff<br><h3>Produkteigenschaften </h3>Die Silikondichtung sorgt für aromatischen Verschluss<br><h3>Maße </h3>Höhe in cm: 6.30<br>Durchmesser in cm: 7,4    </div>",No,,,0,/wmf/wohnen/teedose-m-teatime-wmf_0636346040.jpg,,,,,Teedose M TeaTime,Teedose M TeaTime,Teedose M TeaTime - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Teedose-M-TeaTime,,,Product Info Column,,"29,95",0,,,,/wmf/wohnen/teedose-m-teatime-wmf_0636346040.jpg,,,,,1,2,/wmf/wohnen/teedose-m-teatime-wmf_0636346040.jpg,,,Teedose M TeaTime,Teedose M TeaTime.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0630276040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Marmeladedose Farm</h1>Der in San Francisco lebende Designer Herbert Pfeifer hat mit ""FARM"" pfiffige Dosen nicht nur für den Frühstücks-Tisch entworfen. Sehr praktisch ist die Deckelkonstruktion, da der Cromargan® Bügel nur zurückgeschoben wird und der Deckel sich einfach öffnet. Kein Deckel braucht auf dem Tisch abgelegt zu werden und ein Ausschnitt für einen Löffel ist auch vorhanden.<br>Die Dosen der Serie ""Farm"" sind nicht nur schön, sie sind perfekt durchdacht. Zucker, Marmelade, Käse werden hygienisch und appetitlich aufbewahrt. Der Verschluss sitzt fest. Zum Öffnen wird der Deckel am Henkel einfach nach hinten weggeklappt.<br><h3>Material </h3>Glas<br>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Maße </h3>Durchmesser in cm: 8,8<br>Höhe in cm: 16.00    </div>",No,,,0,/wmf/wohnen/marmeladedose-farm-erdbeere-wmf_0630276040.jpg,,,,,Marmeladedose Farm Erdbeere,Marmeladedose Farm Erdbeere,Marmeladedose Farm Erdbeere - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Marmeladedose-Farm-Erdbeere,,,Product Info Column,,"24,95",0,,,,/wmf/wohnen/marmeladedose-farm-erdbeere-wmf_0630276040.jpg,,,,,1,2,/wmf/wohnen/marmeladedose-farm-erdbeere-wmf_0630276040.jpg,,,Marmeladedose Farm Erdbeere,Marmeladedose Farm Erdbeere.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0670826040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Messerbank-Set 2 Stück JETTe</h1>„Meine Kreationen sollen den Menschen Spaß machen, Ihren Alltag verschönern und trotzdem bezahlbar bleiben. Nicht mehr und nicht weniger“- so beschreibt Jette Joop ihre Kollektion. Sie umfasst Platzteller, Vase und Leuchter, aber auch Champagnerkühler, Serviettenringe und Besteck. Alles für den perfekt gedeckten Tisch! Außergewöhnliches Design bestimmen die Artikel von JETTE Joop.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>spülmaschinenfest<br><h3>Maße </h3>Länge in cm: 7    </div>",No,,,0,/wmf/wohnen/messerbank-2er-gp-wmf_0670826040--2.jpg,,,,,"Messerbank, 2er GP","Messerbank, 2er GP","Messerbank, 2er GP - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Messerbank-2er-GP,,,Product Info Column,,"15,95",0,,,,/wmf/wohnen/messerbank-2er-gp-wmf_0670826040--2.jpg,,,,,1,2,/wmf/wohnen/messerbank-2er-gp-wmf_0670826040--2.jpg,,,"Messerbank, 2er GP","Messerbank, 2er GP.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0663596040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Vase JETTe</h1>„Meine Kreationen sollen den Menschen Spaß machen, Ihren Alltag verschönern und trotzdem bezahlbar bleiben. Nicht mehr und nicht weniger“- so beschreibt Jette Joop ihre Kollektion. Sie umfasst Platzteller, Vase und Leuchter, aber auch Champagnerkühler, Serviettenringe und Besteck. Alles für den perfekt gedeckten Tisch! Außergewöhnliches Design bestimmen die Artikel von JETTE Joop.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>spülmaschinenfest<br><h3>Maße </h3>Höhe in cm: 18.00<br>Durchmesser in cm: 8    </div>",No,,,0,/wmf/wohnen/vase-jette-wmf_0663596040-1.jpg,,,,,Vase Jette,Vase Jette,Vase Jette - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Vase-Jette,,,Product Info Column,,"29,95",0,,,,/wmf/wohnen/vase-jette-wmf_0663596040-1.jpg,,,,,1,2,/wmf/wohnen/vase-jette-wmf_0663596040-1.jpg,,,Vase Jette,Vase Jette.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0655946040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Windlicht JETTe</h1>Windlicht auf Edelstahlsockel. Passend für große Teelichter.<br>„Meine Kreationen sollen den Menschen Spaß machen, Ihren Alltag verschönern und trotzdem bezahlbar bleiben. Nicht mehr und nicht weniger“- so beschreibt Jette Joop ihre Kollektion. Sie umfasst Platzteller, Vase und Leuchter, aber auch Champagnerkühler, Serviettenringe und Besteck. Alles für den perfekt gedeckten Tisch! Außergewöhnliches Design bestimmen die Artikel von JETTE Joop.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>ProduktEigenschaften</h3>spülmaschinenfest<br><h3>Maße </h3>Höhe in cm: 12.00<br>Durchmesser in cm: 14    </div>",No,,,0,/wmf/wohnen/windlicht-jette-wmf_0655946040.jpg,,,,,Windlicht Jette,Windlicht Jette,Windlicht Jette - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Windlicht-Jette,,,Product Info Column,,"39,95",0,,,,/wmf/wohnen/windlicht-jette-wmf_0655946040.jpg,,,,,1,2,/wmf/wohnen/windlicht-jette-wmf_0655946040.jpg,,,Windlicht Jette,Windlicht Jette.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0659906630,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Frischhalte- und Aufbewahrungssystem 13 x 10 cm Depot Fresh</h1>Das besondere Merkmal der Serie Depot Fresh zum Frischhalten: ein schwarze Deckel aus hochwertigem Kunststoff mit integriertem Drehknopf. Er verbirgt ein intelligentes System zur Luftregulierung und -öffnung. Dieses Easyfresh Frischeventil wird mit einer Drehung fest verschlossen, wodurch die Speisen ihr Aroma bewahren und im Kühlschrank länger lecker bleiben. Für Lebensmittel, die atmen wollen - wie Käse, Salat oder Spargel -,wird das gelochte Lüftungssystem so reguliert, dass ausreichend Sauerstoff zugeführt werden kann. WMF hat diese Idee bereits zum Patent angemeldet. Die Frischhaltedosen in verschiedenen Größen sind stapelbar und sehr Platz sparend. Formal ergänzen sie eine Kollektion von Gewürzmühlen, Streuern und Aufbewahrungsdosen für ungekühlt haltbare Lebensmittel wie Nudeln oder Kaffee. Funktional sorgen sie für Ordnung und mehr Transparenz im Leben.<br>Die Kollektion Depot bietet formschöne Streuer und Gewürzmühlen mit original Keramikmahlwerk zum Aufbewahren und Mahlen von vielen verschiedenen Gewürzen. Die Aufbewahrungsdosen gibt es mit 3 verschiedenen Streueinsätzen: grob, fein und universal. Der Glasbehälter, der mit einem WMF Logo versehen ist, macht den Inhalt sichtbar, ist appetitlich und hygienisch. Alle Produkte der Kollektion Depot werden unbefüllt ausgeliefert.<br><h3>Material </h3>Kunststoff<br>Glas<br>Ventil und Dichtung: Silikon<br>Lüftungsknopf EasyFresh aus Cromargan®<br><h3>Produkteigenschaften </h3>Vielseitiges Frischhalte- und Aufbewahrungssystem<br>Modernes und hochwertiges Design, optimal zum Servieren geeignet<br>EasyFresh Ventil: Luftregulierungs- und Öffnungssystem<br>stapelbar<br><h3>Maße </h3>Länge x Breite in cm: 13 x 10    </div>",No,,,0,/wmf/wohnen/frischhalte-u-aufbewahrungssystem-13x10-wmf_0659906630-1-1.jpg,,,,,Frischhalte-u. Aufbewahrungssystem 13x10,Frischhalte-u. Aufbewahrungssystem 13x10,Frischhalte-u. Aufbewahrungssystem 13x10 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Frischhalte-u-Aufbewahrungssystem-13x10,,,Product Info Column,,"19,95",0,,,,/wmf/wohnen/frischhalte-u-aufbewahrungssystem-13x10-wmf_0659906630-1-1.jpg,,,,,1,2,/wmf/wohnen/frischhalte-u-aufbewahrungssystem-13x10-wmf_0659906630-1-1.jpg,,,Frischhalte-u. Aufbewahrungssystem 13x10,Frischhalte-u. Aufbewahrungssystem 13x10.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0659916630,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Frischhalte- und Aufbewahrungssystem 21 x 13 cm Depot Fresh</h1>Das besondere Merkmal der Serie Depot Fresh zum Frischhalten: ein schwarze Deckel aus hochwertigem Kunststoff mit integriertem Drehknopf. Er verbirgt ein intelligentes System zur Luftregulierung und -öffnung. Dieses Easyfresh Frischeventil wird mit einer Drehung fest verschlossen, wodurch die Speisen ihr Aroma bewahren und im Kühlschrank länger lecker bleiben. Für Lebensmittel, die atmen wollen - wie Käse, Salat oder Spargel -,wird das gelochte Lüftungssystem so reguliert, dass ausreichend Sauerstoff zugeführt werden kann. WMF hat diese Idee bereits zum Patent angemeldet. Die Frischhaltedosen in verschiedenen Größen sind stapelbar und sehr Platz sparend. Formal ergänzen sie eine Kollektion von Gewürzmühlen, Streuern und Aufbewahrungsdosen für ungekühlt haltbare Lebensmittel wie Nudeln oder Kaffee. Funktional sorgen sie für Ordnung und mehr Transparenz im Leben.<br>Die Kollektion Depot bietet formschöne Streuer und Gewürzmühlen mit original Keramikmahlwerk zum Aufbewahren und Mahlen von vielen verschiedenen Gewürzen. Die Aufbewahrungsdosen gibt es mit 3 verschiedenen Streueinsätzen: grob, fein und universal. Der Glasbehälter, der mit einem WMF Logo versehen ist, macht den Inhalt sichtbar, ist appetitlich und hygienisch. Alle Produkte der Kollektion Depot werden unbefüllt ausgeliefert.<br><h3>Material </h3>Kunststoff<br>Glas<br>Ventil und Dichtung: Silikon<br>Lüftungsknopf EasyFresh aus Cromargan®<br><h3>Produkteigenschaften </h3>Vielseitiges Frischhalte- und Aufbewahrungssystem<br>Modernes und hochwertiges Design, optimal zum Servieren geeignet<br>EasyFresh Ventil: Luftregulierungs- und Öffnungssystem<br>stapelbar<br><h3>Maße </h3>Länge x Breite in cm: 21 x 13    </div>",No,,,0,/wmf/wohnen/frischhalte-u-aufbewahrungssystem-21x13-wmf_0659916630-1-1.jpg,,,,,Frischhalte-u. Aufbewahrungssystem 21x13,Frischhalte-u. Aufbewahrungssystem 21x13,Frischhalte-u. Aufbewahrungssystem 21x13 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Frischhalte-u-Aufbewahrungssystem-21x13,,,Product Info Column,,"29,95",0,,,,/wmf/wohnen/frischhalte-u-aufbewahrungssystem-21x13-wmf_0659916630-1-1.jpg,,,,,1,2,/wmf/wohnen/frischhalte-u-aufbewahrungssystem-21x13-wmf_0659916630-1-1.jpg,,,Frischhalte-u. Aufbewahrungssystem 21x13,Frischhalte-u. Aufbewahrungssystem 21x13.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0632056030,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wmf/wohnen/topfuntersetzer-chromozone-powderblue-moto-wmf_0632056030.jpg,,,,,Topfuntersetzer Chromozone powderblue MOTO,Topfuntersetzer Chromozone powderblue MOTO,Topfuntersetzer Chromozone powderblue MOTO - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Topfuntersetzer-Chromozone-powderblue-MOTO,,,Product Info Column,,"14,95",0,,,,/wmf/wohnen/topfuntersetzer-chromozone-powderblue-moto-wmf_0632056030.jpg,,,,,1,2,/wmf/wohnen/topfuntersetzer-chromozone-powderblue-moto-wmf_0632056030.jpg,,,Topfuntersetzer Chromozone powderblue MOTO,Topfuntersetzer Chromozone powderblue MOTO.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0632576030,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wmf/wohnen/opfuntersetzer-mister-x-wmf_0632576030--3.jpg,,,,,opfuntersetzer Mister X,opfuntersetzer Mister X,opfuntersetzer Mister X - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,opfuntersetzer-Mister-X,,,Product Info Column,,"27,95",0,,,,/wmf/wohnen/opfuntersetzer-mister-x-wmf_0632576030--3.jpg,,,,,1,2,/wmf/wohnen/opfuntersetzer-mister-x-wmf_0632576030--3.jpg,,,opfuntersetzer Mister X,opfuntersetzer Mister X.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0632046030,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wmf/wohnen/topfuntersetzer-chromozone-grun-moto-wmf_0632046030.jpg,,,,,Topfuntersetzer Chromozone grün MOTO,Topfuntersetzer Chromozone grün MOTO,Topfuntersetzer Chromozone grün MOTO - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Topfuntersetzer-Chromozone-grun-MOTO,,,Product Info Column,,"14,95",0,,,,/wmf/wohnen/topfuntersetzer-chromozone-grun-moto-wmf_0632046030.jpg,,,,,1,2,/wmf/wohnen/topfuntersetzer-chromozone-grun-moto-wmf_0632046030.jpg,,,Topfuntersetzer Chromozone grn MOTO,Topfuntersetzer Chromozone grn MOTO.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
